Difference added,Layer Distance (A),Energy (eV)
2.0,0.7389316600000004,-14.20074224
1.0,1.7389316600000004,-31.37551356
0.0,2.7389316600000004,-33.81919056
1.0,3.7389316600000013,-33.64649204
2.0,4.7389316599999995,-33.5508393
3.0,5.7389316599999995,-33.52789731
4.0,6.738931660000001,-33.52138379
5.0,7.7389316599999995,-33.51980042
6.0,8.738931659999999,-33.51949874
7.0,9.73893166,-33.51951454
8.0,10.738931660000002,-33.51955227
9.0,11.73893166,-33.51956643
10.0,12.73893166,-33.5196094
