
Reading eigenvectors

 ns, nv, nc, nk =     1   12   12    8
 nmat =     1152

kpoints follow:
    1   0.00000   0.00000   0.00000
    2   0.00000   0.00000   0.12500
    3   0.00000   0.00000   0.25000
    4   0.00000   0.00000   0.37500
    5   0.00000   0.00000   0.50000
    6   0.00000   0.00000  -0.37500
    7   0.00000   0.00000  -0.25000
    8   0.00000   0.00000  -0.12500

exciton energies follow (eV)
wtot = sum_k |A_vck|^2. wmax = max_k |A_vck|^2. |A_vc (ikmax)|^2 = wmax.


 Special analysis for state     1   1.02252
    c    v      wtot      wmax     ikmax
    3    1   0.00827   0.00334         4
    3    2   0.02136   0.02005         6
    3    3   0.01356   0.00653         7
    3    4   0.00943   0.00285         5
    3    5   0.00319   0.00200         3
    3    6   0.00016   0.00005         2
    3    7   0.00021   0.00014         3
    3    8   0.00034   0.00012         2
    3    9   0.00015   0.00008         3
    3   10   0.00006   0.00002         2
    3   11   0.00004   0.00002         3
    3   12   0.00004   0.00001         2
    4    1   0.00306   0.00099         5
    4    2   0.00772   0.00334         5
    4    3   0.00866   0.00321         5
    4    4   0.00866   0.00617         4
    4    5   0.00065   0.00031         2
    4    6   0.00018   0.00007         2
    4    7   0.00007   0.00004         8
    4    8   0.00007   0.00002         4
    4    9   0.00018   0.00008         1
    4   10   0.00007   0.00003         5
    4   11   0.00003   0.00001         2
    4   12   0.00006   0.00002         6
    5    1   0.00173   0.00054         5
    5    2   0.00194   0.00143         6
    5    3   0.00324   0.00251         3
    5    4   0.00117   0.00039         2
    5    5   0.00639   0.00612         3
    5    6   0.00048   0.00034         3
    5    7   0.00025   0.00024         3
    5    8   0.00016   0.00006         1
    5    9   0.00002   0.00001         6
    5   10   0.00011   0.00004         5
    5   11   0.00003   0.00002         2
    5   12   0.00006   0.00002         2
    6    1   0.00022   0.00012         8
    6    2   0.00011   0.00005         7
    6    3   0.00014   0.00009         8
    6    4   0.00050   0.00035         2
    6    5   0.00018   0.00009         2
    6    6   0.00026   0.00005         1
    6    7   0.00019   0.00015         2
    6    8   0.00003   0.00001         4
    6    9   0.00003   0.00001         3
    6   10   0.00002   0.00001         2
    6   11   0.00001   0.00001         2
    6   12   0.00001   0.00000         6
    7    1   0.00017   0.00007         2
    7    2   0.00008   0.00003         6
    7    3   0.00021   0.00017         2
    7    4   0.00037   0.00031         2
    7    5   0.00022   0.00021         2
    7    6   0.00002   0.00001         8
    7    7   0.00020   0.00005         6
    7    8   0.00011   0.00005         2
    7    9   0.00004   0.00003         1
    7   10   0.00002   0.00001         5
    7   11   0.00001   0.00000         2
    7   12   0.00003   0.00001         2
    8    1   0.00007   0.00002         3
    8    2   0.00008   0.00002         2
    8    3   0.00014   0.00007         1
    8    4   0.00024   0.00008         2
    8    5   0.00022   0.00010         2
    8    6   0.00008   0.00003         3
    8    7   0.00004   0.00001         7
    8    8   0.00005   0.00002         4
    8    9   0.00011   0.00007         1
    8   10   0.00003   0.00001         4
    8   11   0.00001   0.00000         7
    8   12   0.00003   0.00001         7
    9    1   0.00008   0.00003         2
    9    2   0.00017   0.00005         2
    9    3   0.00027   0.00010         2
    9    4   0.00038   0.00016         1
    9    5   0.00017   0.00009         2
    9    6   0.00010   0.00005         3
    9    7   0.00009   0.00006         1
    9    8   0.00005   0.00003         4
    9    9   0.00004   0.00001         3
    9   10   0.00005   0.00003         5
    9   11   0.00001   0.00001         2
    9   12   0.00003   0.00002         5
   10    1   0.00004   0.00002         5
   10    2   0.00006   0.00004         2
   10    3   0.00006   0.00003         1
   10    4   0.00016   0.00010         2
   10    5   0.00016   0.00008         2
   10    6   0.00001   0.00001         6
   10    7   0.00001   0.00001         5
   10    8   0.00004   0.00003         5
   10    9   0.00003   0.00001         6
   10   10   0.00005   0.00002         5
   10   11   0.00010   0.00004         8
   10   12   0.00006   0.00002         6
   11    1   0.00002   0.00001         2
   11    2   0.00006   0.00004         2
   11    3   0.00002   0.00001         2
   11    4   0.00001   0.00001         2
   11    5   0.00008   0.00005         2
   11    6   0.00001   0.00000         1
   11    7   0.00001   0.00000         1
   11    8   0.00003   0.00001         5
   11    9   0.00001   0.00000         2
   11   10   0.00003   0.00001         6
   11   11   0.00007   0.00005         8
   11   12   0.00003   0.00001         1
   12    1   0.00001   0.00000         6
   12    2   0.00000   0.00000         6
   12    3   0.00000   0.00000         6
   12    4   0.00002   0.00001         3
   12    5   0.00001   0.00000         6
   12    6   0.00000   0.00000         6
   12    7   0.00000   0.00000         7
   12    8   0.00000   0.00000         4
   12    9   0.00000   0.00000         4
   12   10   0.00001   0.00001         6
   12   11   0.00000   0.00000         6
   12   12   0.00000   0.00000         7


 Special analysis for state     3   1.11767
    c    v      wtot      wmax     ikmax
    1    1   0.00297   0.00095         2
    1    2   0.33808   0.09891         1
