
Reading eigenvectors

Reading eigenvectors

 ns, nv, nc, nk =     1   12   12    8
 nmat =     1152

kpoints follow:
    1   0.00000   0.00000   0.00000
    2   0.00000   0.00000   0.12500
    3   0.00000   0.00000   0.25000
    4   0.00000   0.00000   0.37500
    5   0.00000   0.00000   0.50000
    6   0.00000   0.00000  -0.37500
    7   0.00000   0.00000  -0.25000
    8   0.00000   0.00000  -0.12500

exciton energies follow (eV)
wtot = sum_k |A_vck|^2. wmax = max_k |A_vck|^2. |A_vc (ikmax)|^2 = wmax.


 Special analysis for state     1   1.04368
    c    v      wtot      wmax     ikmax
    3    1   0.00000   0.00000         5
    3    2   0.00003   0.00002         6
    3    3   0.06678   0.02987         6
    3    4   0.00241   0.00172         5
    3    5   0.00000   0.00000         1
    3    6   0.00000   0.00000         1
    3    7   0.00000   0.00000         8
    3    8   0.00000   0.00000         1
    3    9   0.00000   0.00000         5
    3   10   0.00000   0.00000         4
    3   11   0.00000   0.00000         3
    3   12   0.00000   0.00000         1
    4    1   0.00000   0.00000         5
    4    2   0.00002   0.00002         5
    4    3   0.00242   0.00171         5
    4    4   0.03171   0.01162         4
    4    5   0.00020   0.00011         2
    4    6   0.00000   0.00000         1
    4    7   0.00000   0.00000         1
    4    8   0.00000   0.00000         1
    4    9   0.00000   0.00000         8
    4   10   0.00000   0.00000         3
    4   11   0.00000   0.00000         2
    4   12   0.00000   0.00000         3
    5    1   0.00000   0.00000         8
    5    2   0.00000   0.00000         2
    5    3   0.00000   0.00000         1
    5    4   0.00498   0.00480         2
    5    5   0.00054   0.00010         1
    5    6   0.00000   0.00000         1
    5    7   0.00000   0.00000         2
    5    8   0.00000   0.00000         1
    5    9   0.00000   0.00000         3
    5   10   0.00000   0.00000         2
    5   11   0.00000   0.00000         1
    5   12   0.00000   0.00000         7
    6    1   0.00000   0.00000         8
    6    2   0.00000   0.00000         6
    6    3   0.00000   0.00000         2
    6    4   0.00000   0.00000         2
    6    5   0.00000   0.00000         1
    6    6   0.00033   0.00010         1
    6    7   0.00035   0.00029         2
    6    8   0.00011   0.00006         3
    6    9   0.00000   0.00000         1
    6   10   0.00000   0.00000         1
    6   11   0.00000   0.00000         7
    6   12   0.00000   0.00000         1
    7    1   0.00000   0.00000         1
    7    2   0.00000   0.00000         1
    7    3   0.00000   0.00000         1
    7    4   0.00000   0.00000         1
    7    5   0.00000   0.00000         5
    7    6   0.00019   0.00010         8
    7    7   0.00063   0.00020         3
    7    8   0.00002   0.00002         1
    7    9   0.00000   0.00000         5
    7   10   0.00000   0.00000         5
    7   11   0.00000   0.00000         7
    7   12   0.00000   0.00000         2
    8    1   0.00000   0.00000         6
    8    2   0.00000   0.00000         1
    8    3   0.00000   0.00000         1
    8    4   0.00000   0.00000         1
    8    5   0.00000   0.00000         4
    8    6   0.00014   0.00009         7
    8    7   0.00002   0.00002         1
    8    8   0.00044   0.00018         4
    8    9   0.00000   0.00000         4
    8   10   0.00000   0.00000         8
    8   11   0.00000   0.00000         7
    8   12   0.00000   0.00000         2
    9    1   0.00000   0.00000         5
    9    2   0.00000   0.00000         2
    9    3   0.00000   0.00000         5
    9    4   0.00000   0.00000         2
    9    5   0.00000   0.00000         4
    9    6   0.00000   0.00000         5
    9    7   0.00000   0.00000         1
    9    8   0.00000   0.00000         1
    9    9   0.00024   0.00006         5
    9   10   0.00005   0.00003         5
    9   11   0.00005   0.00003         2
    9   12   0.00000   0.00000         7
   10    1   0.00000   0.00000         2
   10    2   0.00000   0.00000         2
   10    3   0.00000   0.00000         4
   10    4   0.00000   0.00000         2
   10    5   0.00000   0.00000         2
   10    6   0.00000   0.00000         1
   10    7   0.00000   0.00000         5
   10    8   0.00000   0.00000         8
   10    9   0.00003   0.00003         5
   10   10   0.00047   0.00018         8
   10   11   0.00000   0.00000         2
   10   12   0.00000   0.00000         7
   11    1   0.00000   0.00000         1
   11    2   0.00000   0.00000         7
   11    3   0.00000   0.00000         3
   11    4   0.00000   0.00000         3
   11    5   0.00000   0.00000         7
   11    6   0.00000   0.00000         7
   11    7   0.00000   0.00000         2
   11    8   0.00000   0.00000         4
   11    9   0.00000   0.00000         3
   11   10   0.00000   0.00000         8
   11   11   0.00000   0.00000         7
   11   12   0.00002   0.00001         7
   12    1   0.00000   0.00000         3
   12    2   0.00000   0.00000         2
   12    3   0.00000   0.00000         1
   12    4   0.00000   0.00000         3
   12    5   0.00000   0.00000         7
   12    6   0.00000   0.00000         4
   12    7   0.00000   0.00000         1
   12    8   0.00000   0.00000         1
   12    9   0.00000   0.00000         7
   12   10   0.00000   0.00000         7
   12   11   0.00000   0.00000         7
   12   12   0.00000   0.00000         7


 Special analysis for state     3   1.10726
    c    v      wtot      wmax     ikmax
    1    1   0.05306   0.05297         1
    1    2   0.28154   0.17526         2
    1    3   0.00422   0.00420         5
    1    4   0.00422   0.00422         5
    1    5   0.00000   0.00000         5
    1    6   0.00000   0.00000         4
    1    7   0.00000   0.00000         2
    1    8   0.00000   0.00000         1
    1    9   0.00000   0.00000         1
    1   10   0.00000   0.00000         2
    1   11   0.00000   0.00000         3
    1   12   0.00000   0.00000         2
    2    1   0.47954   0.21455         8
    2    2   0.05944   0.05919         1
    2    3   0.00422   0.00422         5
    2    4   0.00422   0.00422         5
    2    5   0.00000   0.00000         5
    2    6   0.00000   0.00000         5
    2    7   0.00000   0.00000         7
    2    8   0.00000   0.00000         6
    2    9   0.00000   0.00000         7
    2   10   0.00000   0.00000         8
    2   11   0.00000   0.00000         8
    2   12   0.00000   0.00000         7
    3    1   0.00956   0.00956         5
    3    2   0.00955   0.00955         5
    3    3   0.00003   0.00001         6
    3    4   0.01324   0.01139         6
    3    5   0.00000   0.00000         7
    3    6   0.00000   0.00000         6
    3    7   0.00138   0.00114         8
    3    8   0.00025   0.00025         1
    3    9   0.00000   0.00000         1
    3   10   0.00000   0.00000         5
    3   11   0.00000   0.00000         8
    3   12   0.00000   0.00000         7
    4    1   0.00955   0.00955         5
    4    2   0.00955   0.00952         5
    4    3   0.05307   0.02872         4
    4    4   0.00001   0.00001         4
    4    5   0.00000   0.00000         2
    4    6   0.00000   0.00000         3
    4    7   0.00025   0.00025         1
    4    8   0.00025   0.00025         1
    4    9   0.00000   0.00000         5
    4   10   0.00000   0.00000         2
    4   11   0.00000   0.00000         4
    4   12   0.00000   0.00000         5
    5    1   0.00000   0.00000         5
    5    2   0.00000   0.00000         2
    5    3   0.00000   0.00000         2
    5    4   0.00000   0.00000         2
    5    5   0.00000   0.00000         7
    5    6   0.00000   0.00000         1
    5    7   0.00000   0.00000         1
    5    8   0.00000   0.00000         2
    5    9   0.00000   0.00000         4
    5   10   0.00113   0.00113         2
    5   11   0.00000   0.00000         2
    5   12   0.00000   0.00000         2
    6    1   0.00000   0.00000         6
    6    2   0.00000   0.00000         5
    6    3   0.00067   0.00067         2
    6    4   0.00000   0.00000         2
    6    5   0.00000   0.00000         1
    6    6   0.00000   0.00000         1
    6    7   0.00000   0.00000         2
    6    8   0.00000   0.00000         3
    6    9   0.00000   0.00000         5
    6   10   0.00000   0.00000         2
    6   11   0.00000   0.00000         6
    6   12   0.00000   0.00000         2
    7    1   0.00000   0.00000         7
    7    2   0.00000   0.00000         3
    7    3   0.00015   0.00015         1
    7    4   0.00015   0.00015         1
    7    5   0.00000   0.00000         1
    7    6   0.00000   0.00000         8
    7    7   0.00000   0.00000         7
    7    8   0.00000   0.00000         1
    7    9   0.00000   0.00000         5
    7   10   0.00000   0.00000         2
    7   11   0.00001   0.00001         3
    7   12   0.00000   0.00000         3
    8    1   0.00000   0.00000         8
    8    2   0.00000   0.00000         4
    8    3   0.00015   0.00015         1
    8    4   0.00015   0.00015         1
    8    5   0.00000   0.00000         1
    8    6   0.00000   0.00000         7
    8    7   0.00000   0.00000         1
    8    8   0.00000   0.00000         1
    8    9   0.00000   0.00000         5
    8   10   0.00000   0.00000         2
    8   11   0.00000   0.00000         3
    8   12   0.00000   0.00000         4
    9    1   0.00000   0.00000         1
    9    2   0.00000   0.00000         2
    9    3   0.00000   0.00000         1
    9    4   0.00003   0.00003         8
    9    5   0.00000   0.00000         8
    9    6   0.00000   0.00000         5
    9    7   0.00000   0.00000         7
    9    8   0.00000   0.00000         5
    9    9   0.00000   0.00000         5
    9   10   0.00000   0.00000         5
    9   11   0.00000   0.00000         2
    9   12   0.00000   0.00000         7
   10    1   0.00000   0.00000         8
   10    2   0.00000   0.00000         1
   10    3   0.00000   0.00000         1
   10    4   0.00042   0.00042         8
   10    5   0.00000   0.00000         8
   10    6   0.00000   0.00000         8
   10    7   0.00000   0.00000         7
   10    8   0.00000   0.00000         5
   10    9   0.00000   0.00000         5
   10   10   0.00000   0.00000         8
   10   11   0.00000   0.00000         2
   10   12   0.00000   0.00000         1
   11    1   0.00000   0.00000         1
   11    2   0.00000   0.00000         3
   11    3   0.00000   0.00000         3
   11    4   0.00000   0.00000         8
   11    5   0.00000   0.00000         7
   11    6   0.00000   0.00000         7
   11    7   0.00000   0.00000         7
   11    8   0.00000   0.00000         6
   11    9   0.00000   0.00000         3
   11   10   0.00000   0.00000         3
   11   11   0.00000   0.00000         1
   11   12   0.00000   0.00000         7
   12    1   0.00000   0.00000         3
   12    2   0.00000   0.00000         2
   12    3   0.00000   0.00000         3
   12    4   0.00000   0.00000         8
   12    5   0.00000   0.00000         3
   12    6   0.00000   0.00000         7
   12    7   0.00000   0.00000         7
   12    8   0.00000   0.00000         4
   12    9   0.00000   0.00000         4
   12   10   0.00000   0.00000         2
   12   11   0.00000   0.00000         6
   12   12   0.00000   0.00000         8


 Special analysis for state     4   1.11619
    c    v      wtot      wmax     ikmax
    1    1   0.05511   0.05509         1
    1    2   0.44766   0.20624         8
    1    3   0.00753   0.00750         5
    1    4   0.00749   0.00749         5
    1    5   0.00000   0.00000         5
    1    6   0.00000   0.00000         6
    1    7   0.00000   0.00000         8
    1    8   0.00000   0.00000         7
    1    9   0.00000   0.00000         1
    1   10   0.00000   0.00000         8
    1   11   0.00000   0.00000         7
    1   12   0.00000   0.00000         8
    2    1   0.31368   0.18505         2
    2    2   0.05894   0.05880         1
    2    3   0.00750   0.00750         5
    2    4   0.00750   0.00750         5
    2    5   0.00000   0.00000         5
    2    6   0.00000   0.00000         5
    2    7   0.00000   0.00000         3
    2    8   0.00000   0.00000         4
    2    9   0.00000   0.00000         4
    2   10   0.00000   0.00000         1
    2   11   0.00000   0.00000         2
    2   12   0.00000   0.00000         3
    3    1   0.00626   0.00625         5
    3    2   0.00625   0.00625         5
    3    3   0.00001   0.00000         6
    3    4   0.04250   0.02266         4
    3    5   0.00000   0.00000         3
    3    6   0.00000   0.00000         3
