# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     726     0.00000     0.00000     0.03082   -3.499650468   -3.866167358   -0.366516890
     1     726     0.00000     0.00000     0.04110   -3.576588747   -3.983890122   -0.407301375
     1     726     0.00000     0.00000    -0.03082   -3.499650468   -3.866167358   -0.366516890
     1     726     0.00000     0.00000    -0.02055   -3.566887363   -3.962574891   -0.395687528
     1     726     0.00000     0.00000    -0.01027   -3.637713655   -4.062620668   -0.424907013
     1     727     0.00000     0.00000     0.00000   -3.335513604   -3.682938765   -0.347425161
     1     727     0.00000     0.00000     0.01027   -3.365707623   -3.716971898   -0.351264275
     1     727     0.00000     0.00000     0.02055   -3.418928896   -3.796280329   -0.377351433
     1     727     0.00000     0.00000     0.03082   -3.490742406   -3.894133123   -0.403390717
     1     727     0.00000     0.00000     0.04110   -3.438492969   -3.800636489   -0.362143520
     1     727     0.00000     0.00000    -0.03082   -3.490742406   -3.894133123   -0.403390717
     1     727     0.00000     0.00000    -0.02055   -3.418928896   -3.796280329   -0.377351433
     1     727     0.00000     0.00000    -0.01027   -3.365707623   -3.716971898   -0.351264275
     1     728     0.00000     0.00000     0.00000   -3.335213452   -3.682523963   -0.347310511
     1     728     0.00000     0.00000     0.01027   -3.330124182   -3.678449006   -0.348324824
     1     728     0.00000     0.00000     0.02055   -3.348638477   -3.703374174   -0.354735697
     1     728     0.00000     0.00000     0.03082   -3.386495229   -3.747641421   -0.361146192
     1     728     0.00000     0.00000     0.04110   -3.438236927   -3.800300537   -0.362063610
     1     728     0.00000     0.00000    -0.03082   -3.386495229   -3.747641421   -0.361146192
     1     728     0.00000     0.00000    -0.02055   -3.348638477   -3.703374174   -0.354735697
     1     728     0.00000     0.00000    -0.01027   -3.330124182   -3.678449006   -0.348324824
     1     729     0.00000     0.00000     0.00000   -2.421328410   -1.607093930    0.814234480
     1     729     0.00000     0.00000     0.01027   -2.418248676   -1.603050233    0.815198444
     1     729     0.00000     0.00000     0.02055   -2.392805339   -1.571499821    0.821305519
     1     729     0.00000     0.00000     0.03082   -2.349316332   -1.521905026    0.827411305
     1     729     0.00000     0.00000     0.04110   -2.293343311   -1.465045746    0.828297565
     1     729     0.00000     0.00000    -0.03082   -2.349316332   -1.521905026    0.827411305
     1     729     0.00000     0.00000    -0.02055   -2.392805339   -1.571499821    0.821305519
     1     729     0.00000     0.00000    -0.01027   -2.418248676   -1.603050233    0.815198444
     1     730     0.00000     0.00000     0.00000   -2.420984471   -1.606644519    0.814339952
     1     730     0.00000     0.00000     0.01027   -2.399929593   -1.582117908    0.817811686
     1     730     0.00000     0.00000     0.02055   -2.356729788   -1.515324977    0.841404811
     1     730     0.00000     0.00000     0.03082   -2.295649328   -1.430658516    0.864990812
     1     730     0.00000     0.00000     0.04110   -2.293144545   -1.464798726    0.828345819
     1     730     0.00000     0.00000    -0.03082   -2.295649328   -1.430658516    0.864990812
     1     730     0.00000     0.00000    -0.02055   -2.356729788   -1.515324977    0.841404811
     1     730     0.00000     0.00000    -0.01027   -2.399929593   -1.582117908    0.817811686
     1     731     0.00000     0.00000     0.00000   -2.020760331   -1.133616094    0.887144237
     1     731     0.00000     0.00000     0.01027   -2.090960361   -1.207621705    0.883338657
     1     731     0.00000     0.00000     0.02055   -2.161064999   -1.303320609    0.857744390
     1     731     0.00000     0.00000     0.03082   -2.229304771   -1.397147062    0.832157710
     1     731     0.00000     0.00000     0.04110   -2.221146595   -1.352686179    0.868460416
     1     731     0.00000     0.00000    -0.03082   -2.229304771   -1.397147062    0.832157710
     1     731     0.00000     0.00000    -0.02055   -2.161064999   -1.303320609    0.857744390
     1     731     0.00000     0.00000    -0.01027   -2.090960361   -1.207621705    0.883338657
     1     732     0.00000     0.00000     0.00000   -2.020609195   -1.133431247    0.887177948
     1     732     0.00000     0.00000     0.01027   -1.973193377   -1.080037977    0.893155400
     1     732     0.00000     0.00000     0.02055   -2.043524836   -1.132678693    0.910846143
     1     732     0.00000     0.00000     0.03082   -2.136090527   -1.262064739    0.874025788
     1     732     0.00000     0.00000     0.04110   -2.220742423   -1.352146612    0.868595811
     1     732     0.00000     0.00000    -0.03082   -2.136090527   -1.262064739    0.874025788
     1     732     0.00000     0.00000    -0.02055   -2.043524836   -1.132678693    0.910846143
     1     732     0.00000     0.00000    -0.01027   -1.973193377   -1.080037977    0.893155400
     1     733     0.00000     0.00000     0.00000   -1.950506852   -1.058094052    0.892412800
     1     733     0.00000     0.00000     0.01027   -1.951368838   -1.060831611    0.890537227
     1     733     0.00000     0.00000     0.02055   -1.985068505   -1.087133123    0.897935382
     1     733     0.00000     0.00000     0.03082   -1.984961355   -1.082246151    0.902715204
     1     733     0.00000     0.00000     0.04110   -1.972349423   -1.068935869    0.903413554
     1     733     0.00000     0.00000    -0.03082   -1.984961355   -1.082246151    0.902715204
     1     733     0.00000     0.00000    -0.02055   -1.985068505   -1.087133123    0.897935382
     1     733     0.00000     0.00000    -0.01027   -1.951368838   -1.060831611    0.890537227
     1     734     0.00000     0.00000     0.00000   -1.950342468   -1.057875602    0.892466866
     1     734     0.00000     0.00000     0.01027   -1.944987612   -0.997354521    0.947633090
     1     734     0.00000     0.00000     0.02055   -1.909625420   -0.983765351    0.925860070
     1     734     0.00000     0.00000     0.03082   -1.946973076   -1.040629144    0.906343932
     1     734     0.00000     0.00000     0.04110   -1.972162571   -1.068717737    0.903444834
     1     734     0.00000     0.00000    -0.03082   -1.946973076   -1.040629144    0.906343932
     1     734     0.00000     0.00000    -0.02055   -1.909625420   -0.983765351    0.925860070
     1     734     0.00000     0.00000    -0.01027   -1.944987612   -0.997354521    0.947633090
     1     735     0.00000     0.00000     0.00000   -1.841933611   -0.888801926    0.953131685
     1     735     0.00000     0.00000     0.01027   -1.918275868   -1.024286405    0.893989463
     1     735     0.00000     0.00000     0.02055   -1.883819576   -0.970940676    0.912878899
     1     735     0.00000     0.00000     0.03082   -1.832799491   -0.918062421    0.914737070
     1     735     0.00000     0.00000     0.04110   -1.782895514   -0.866611801    0.916283713
     1     735     0.00000     0.00000    -0.03082   -1.832799491   -0.918062421    0.914737070
     1     735     0.00000     0.00000    -0.02055   -1.883819576   -0.970940676    0.912878899
     1     735     0.00000     0.00000    -0.01027   -1.918275868   -1.024286405    0.893989463
     1     736     0.00000     0.00000     0.00000   -1.841489592   -0.888284054    0.953205538
     1     736     0.00000     0.00000     0.01027   -1.861062832   -0.915685724    0.945377109
     1     736     0.00000     0.00000     0.02055   -1.878501943   -0.974138098    0.904363845
     1     736     0.00000     0.00000     0.03082   -1.818600070   -0.883345348    0.935254722
     1     736     0.00000     0.00000     0.04110   -1.782723387   -0.866435681    0.916287706
     1     736     0.00000     0.00000    -0.03082   -1.818600070   -0.883345348    0.935254722
     1     736     0.00000     0.00000    -0.02055   -1.878501943   -0.974138098    0.904363845
