       Step     Time          Energy          fmax
LBFGS:    0 18:53:18      -34.053580        1.667855
LBFGS:    1 18:53:18      -34.245103        1.527125
LBFGS:    2 18:53:19      -34.525924        1.804663
LBFGS:    3 18:53:19      -34.772106        0.723350
LBFGS:    4 18:53:20      -34.841032        0.357679
LBFGS:    5 18:53:20      -34.859834        0.398450
LBFGS:    6 18:53:21      -34.873690        0.428740
LBFGS:    7 18:53:21      -35.087278        0.651777
LBFGS:    8 18:53:22      -35.140374        0.501481
LBFGS:    9 18:53:22      -35.174906        0.237160
LBFGS:   10 18:53:23      -35.184506        0.191644
LBFGS:   11 18:53:23      -35.190531        0.211278
LBFGS:   12 18:53:24      -35.199719        0.211634
LBFGS:   13 18:53:24      -35.209628        0.170009
LBFGS:   14 18:53:24      -35.217267        0.092692
LBFGS:   15 18:53:25      -35.220455        0.030606
LBFGS:   16 18:53:25      -35.220690        0.009836
