       Step     Time          Energy          fmax
LBFGS:    0 19:22:14      -35.737576        0.242793
LBFGS:    1 19:22:15      -35.742226        0.222938
LBFGS:    2 19:22:15      -35.769790        0.188883
LBFGS:    3 19:22:16      -35.771763        0.173778
LBFGS:    4 19:22:16      -35.788312        0.061923
LBFGS:    5 19:22:17      -35.792652        0.075660
LBFGS:    6 19:22:18      -35.793509        0.074544
LBFGS:    7 19:22:18      -35.794036        0.071095
LBFGS:    8 19:22:19      -35.795322        0.064180
LBFGS:    9 19:22:20      -35.796737        0.056820
LBFGS:   10 19:22:20      -35.797764        0.042458
LBFGS:   11 19:22:21      -35.798117        0.026945
LBFGS:   12 19:22:21      -35.798259        0.033872
LBFGS:   13 19:22:22      -35.798468        0.040203
LBFGS:   14 19:22:23      -35.799027        0.050510
LBFGS:   15 19:22:23      -35.800371        0.064830
LBFGS:   16 19:22:24      -35.803521        0.081722
LBFGS:   17 19:22:25      -35.810103        0.091356
LBFGS:   18 19:22:25      -35.818222        0.061615
LBFGS:   19 19:22:26      -35.819371        0.036815
LBFGS:   20 19:22:26      -35.820104        0.006495
