       Step     Time          Energy          fmax
LBFGS:    0 18:00:10      -35.796165        0.135724
LBFGS:    1 18:00:11      -35.798030        0.129315
LBFGS:    2 18:00:12      -35.812216        0.099118
LBFGS:    3 18:00:12      -35.812935        0.082506
LBFGS:    4 18:00:13      -35.813735        0.067115
LBFGS:    5 18:00:13      -35.815435        0.038562
LBFGS:    6 18:00:14      -35.816260        0.046800
LBFGS:    7 18:00:15      -35.816696        0.053701
LBFGS:    8 18:00:15      -35.817009        0.054690
LBFGS:    9 18:00:16      -35.817683        0.053069
LBFGS:   10 18:00:16      -35.818634        0.047617
LBFGS:   11 18:00:17      -35.819454        0.038912
LBFGS:   12 18:00:18      -35.819768        0.030686
LBFGS:   13 18:00:18      -35.819892        0.024513
LBFGS:   14 18:00:19      -35.820036        0.028850
LBFGS:   15 18:00:20      -35.820408        0.037940
LBFGS:   16 18:00:20      -35.821284        0.050387
LBFGS:   17 18:00:21      -35.823295        0.064975
LBFGS:   18 18:00:21      -35.827294        0.073650
LBFGS:   19 18:00:22      -35.832739        0.054941
LBFGS:   20 18:00:23      -35.834321        0.021731
LBFGS:   21 18:00:23      -35.834724        0.008350
