       Step     Time          Energy          fmax
LBFGS:    0 17:55:20      -35.358435        0.265643
LBFGS:    1 17:55:21      -35.365716        0.257330
LBFGS:    2 17:55:22      -35.492691        0.068614
LBFGS:    3 17:55:23      -35.493243        0.061530
LBFGS:    4 17:55:23      -35.494086        0.037804
LBFGS:    5 17:55:24      -35.494483        0.018608
LBFGS:    6 17:55:25      -35.494577        0.020890
LBFGS:    7 17:55:25      -35.494630        0.020389
LBFGS:    8 17:55:26      -35.494763        0.018777
LBFGS:    9 17:55:27      -35.495053        0.018751
LBFGS:   10 17:55:28      -35.495610        0.021590
LBFGS:   11 17:55:28      -35.496148        0.016109
LBFGS:   12 17:55:29      -35.496353        0.008892
