       Step     Time          Energy          fmax
LBFGS:    0 18:38:29      -35.705053        0.674293
LBFGS:    1 18:38:30      -35.736008        0.613317
LBFGS:    2 18:38:30      -35.859478        0.345235
LBFGS:    3 18:38:31      -35.868928        0.249887
LBFGS:    4 18:38:31      -35.877127        0.222913
LBFGS:    5 18:38:32      -35.944856        0.196575
LBFGS:    6 18:38:33      -35.966767        0.159917
LBFGS:    7 18:38:33      -35.970248        0.122912
LBFGS:    8 18:38:34      -35.973310        0.073618
LBFGS:    9 18:38:34      -35.974019        0.074234
LBFGS:   10 18:38:35      -35.980001        0.048175
LBFGS:   11 18:38:35      -35.980824        0.031639
LBFGS:   12 18:38:36      -35.981016        0.029669
LBFGS:   13 18:38:37      -35.981133        0.033652
LBFGS:   14 18:38:37      -35.981565        0.043830
LBFGS:   15 18:38:38      -35.982502        0.058005
LBFGS:   16 18:38:38      -35.984829        0.077942
LBFGS:   17 18:38:39      -35.989654        0.093916
LBFGS:   18 18:38:39      -35.998649        0.087130
LBFGS:   19 18:38:40      -36.004571        0.043387
LBFGS:   20 18:38:41      -36.006545        0.034124
LBFGS:   21 18:38:41      -36.007205        0.019109
LBFGS:   22 18:38:42      -36.007394        0.004349
