       Step     Time          Energy          fmax
LBFGS:    0 19:30:45      -35.168505        1.045518
LBFGS:    1 19:30:45      -35.243992        0.957371
LBFGS:    2 19:30:46      -35.415571        0.897937
LBFGS:    3 19:30:46      -35.510810        0.342921
LBFGS:    4 19:30:47      -35.530257        0.187862
LBFGS:    5 19:30:47      -35.537683        0.247549
LBFGS:    6 19:30:48      -35.547671        0.299333
LBFGS:    7 19:30:48      -35.597082        0.439997
LBFGS:    8 19:30:49      -35.649074        0.607155
LBFGS:    9 19:30:49      -35.690443        0.425507
LBFGS:   10 19:30:50      -35.743664        0.133209
LBFGS:   11 19:30:50      -35.748832        0.057519
LBFGS:   12 19:30:51      -35.749541        0.052318
LBFGS:   13 19:30:51      -35.749802        0.054527
LBFGS:   14 19:30:52      -35.750686        0.050714
LBFGS:   15 19:30:52      -35.751680        0.037868
LBFGS:   16 19:30:53      -35.752414        0.040075
LBFGS:   17 19:30:53      -35.752689        0.033499
LBFGS:   18 19:30:54      -35.752819        0.030165
LBFGS:   19 19:30:54      -35.753085        0.030174
LBFGS:   20 19:30:55      -35.753742        0.040976
LBFGS:   21 19:30:55      -35.755306        0.059464
LBFGS:   22 19:30:56      -35.758488        0.085968
LBFGS:   23 19:30:56      -35.763116        0.091405
LBFGS:   24 19:30:57      -35.767277        0.060157
LBFGS:   25 19:30:57      -35.769073        0.019996
LBFGS:   26 19:30:58      -35.769298        0.003265
