       Step     Time          Energy          fmax
LBFGS:    0 18:37:48      -35.574717        0.284116
LBFGS:    1 18:37:48      -35.579498        0.262992
LBFGS:    2 18:37:49      -35.616878        0.247622
LBFGS:    3 18:37:50      -35.620437        0.235995
LBFGS:    4 18:37:50      -35.653189        0.057426
LBFGS:    5 18:37:51      -35.653459        0.055610
LBFGS:    6 18:37:52      -35.654720        0.045158
LBFGS:    7 18:37:52      -35.656083        0.028516
LBFGS:    8 18:37:53      -35.656970        0.027925
LBFGS:    9 18:37:54      -35.657262        0.026894
LBFGS:   10 18:37:55      -35.657346        0.025178
LBFGS:   11 18:37:55      -35.657443        0.024636
LBFGS:   12 18:37:56      -35.657780        0.026625
LBFGS:   13 18:37:57      -35.658535        0.034910
LBFGS:   14 18:37:57      -35.660368        0.052386
LBFGS:   15 18:37:58      -35.663952        0.073459
LBFGS:   16 18:37:59      -35.669170        0.081765
LBFGS:   17 18:37:59      -35.674034        0.055142
LBFGS:   18 18:38:00      -35.676847        0.008414
