       Step     Time          Energy          fmax
LBFGS:    0 18:31:43      -35.657332        0.679475
LBFGS:    1 18:31:44      -35.694490        0.620745
LBFGS:    2 18:31:45      -35.851496        0.372707
LBFGS:    3 18:31:45      -35.865829        0.258274
LBFGS:    4 18:31:46      -35.874490        0.237855
LBFGS:    5 18:31:46      -35.941266        0.109895
LBFGS:    6 18:31:47      -35.942818        0.109556
LBFGS:    7 18:31:47      -35.946241        0.107304
LBFGS:    8 18:31:48      -35.953213        0.114500
LBFGS:    9 18:31:48      -35.960052        0.081670
LBFGS:   10 18:31:49      -35.963296        0.053627
LBFGS:   11 18:31:49      -35.964045        0.027708
LBFGS:   12 18:31:50      -35.964190        0.023186
LBFGS:   13 18:31:51      -35.964268        0.024718
LBFGS:   14 18:31:51      -35.964520        0.027667
LBFGS:   15 18:31:52      -35.965051        0.033662
LBFGS:   16 18:31:52      -35.966377        0.056261
LBFGS:   17 18:31:53      -35.969201        0.080364
LBFGS:   18 18:31:53      -35.974740        0.088237
LBFGS:   19 18:31:54      -35.983519        0.041521
LBFGS:   20 18:31:54      -35.983809        0.025713
LBFGS:   21 18:31:55      -35.985471        0.013865
LBFGS:   22 18:31:56      -35.985704        0.007482
