       Step     Time          Energy          fmax
LBFGS:    0 18:57:12      -35.694500        0.113650
LBFGS:    1 18:57:13      -35.695782        0.106436
LBFGS:    2 18:57:14      -35.710358        0.133153
LBFGS:    3 18:57:14      -35.711427        0.120889
LBFGS:    4 18:57:15      -35.718313        0.043227
LBFGS:    5 18:57:16      -35.718821        0.048085
LBFGS:    6 18:57:16      -35.719053        0.047886
LBFGS:    7 18:57:17      -35.719420        0.044973
LBFGS:    8 18:57:18      -35.720044        0.037945
LBFGS:    9 18:57:18      -35.720612        0.030925
LBFGS:   10 18:57:19      -35.720915        0.025564
LBFGS:   11 18:57:20      -35.721059        0.030587
LBFGS:   12 18:57:20      -35.721238        0.034462
LBFGS:   13 18:57:21      -35.721686        0.039895
LBFGS:   14 18:57:21      -35.722763        0.046705
LBFGS:   15 18:57:22      -35.725240        0.053430
LBFGS:   16 18:57:23      -35.730296        0.053563
LBFGS:   17 18:57:23      -35.737049        0.028692
LBFGS:   18 18:57:24      -35.737703        0.011373
LBFGS:   19 18:57:25      -35.738113        0.008625
