       Step     Time          Energy          fmax
LBFGS:    0 19:06:54      -34.547369        1.447046
LBFGS:    1 19:06:54      -34.691264        1.323150
LBFGS:    2 19:06:55      -34.830905        1.767468
LBFGS:    3 19:06:55      -35.110869        0.632509
LBFGS:    4 19:06:56      -35.171066        0.327115
LBFGS:    5 19:06:56      -35.188840        0.359698
LBFGS:    6 19:06:57      -35.200035        0.375481
LBFGS:    7 19:06:57      -35.381305        0.445901
LBFGS:    8 19:06:58      -35.407583        0.292294
LBFGS:    9 19:06:58      -35.426466        0.101994
LBFGS:   10 19:06:59      -35.428863        0.085779
LBFGS:   11 19:06:59      -35.429919        0.092739
LBFGS:   12 19:07:00      -35.431415        0.093376
LBFGS:   13 19:07:00      -35.433624        0.078335
LBFGS:   14 19:07:01      -35.435663        0.046175
LBFGS:   15 19:07:01      -35.436723        0.026710
LBFGS:   16 19:07:02      -35.436862        0.016440
LBFGS:   17 19:07:03      -35.436892        0.014800
LBFGS:   18 19:07:03      -35.436991        0.015992
LBFGS:   19 19:07:04      -35.437202        0.020051
LBFGS:   20 19:07:04      -35.437741        0.031285
LBFGS:   21 19:07:05      -35.438875        0.048014
LBFGS:   22 19:07:05      -35.440748        0.057455
LBFGS:   23 19:07:06      -35.442678        0.044350
LBFGS:   24 19:07:06      -35.443563        0.016181
LBFGS:   25 19:07:07      -35.443661        0.002278
