       Step     Time          Energy          fmax
LBFGS:    0 18:28:55      -35.901445        0.202336
LBFGS:    1 18:28:55      -35.905125        0.189484
LBFGS:    2 18:28:56      -35.930101        0.046508
LBFGS:    3 18:28:56      -35.930390        0.036410
LBFGS:    4 18:28:57      -35.930553        0.030757
LBFGS:    5 18:28:58      -35.930928        0.019596
LBFGS:    6 18:28:58      -35.931014        0.016755
LBFGS:    7 18:28:59      -35.931054        0.013786
LBFGS:    8 18:28:59      -35.931100        0.016559
LBFGS:    9 18:29:00      -35.931225        0.021818
LBFGS:   10 18:29:00      -35.931468        0.027022
LBFGS:   11 18:29:01      -35.931867        0.029099
LBFGS:   12 18:29:01      -35.932230        0.024948
LBFGS:   13 18:29:02      -35.932387        0.020487
LBFGS:   14 18:29:03      -35.932449        0.018813
LBFGS:   15 18:29:03      -35.932525        0.018082
LBFGS:   16 18:29:04      -35.932708        0.018996
LBFGS:   17 18:29:04      -35.933146        0.024304
LBFGS:   18 18:29:05      -35.934102        0.033077
LBFGS:   19 18:29:05      -35.935914        0.041445
LBFGS:   20 18:29:06      -35.938341        0.041541
LBFGS:   21 18:29:07      -35.939383        0.020432
LBFGS:   22 18:29:07      -35.939621        0.004495
