       Step     Time          Energy          fmax
LBFGS:    0 19:22:51      -35.051097        1.250598
LBFGS:    1 19:22:52      -35.145465        1.150553
LBFGS:    2 19:22:52      -35.308798        1.365855
LBFGS:    3 19:22:53      -35.476134        0.483424
LBFGS:    4 19:22:53      -35.512542        0.251918
LBFGS:    5 19:22:54      -35.527992        0.395363
LBFGS:    6 19:22:55      -35.542032        0.423451
LBFGS:    7 19:22:55      -35.608268        0.360782
LBFGS:    8 19:22:56      -35.634767        0.188065
LBFGS:    9 19:22:56      -35.643014        0.080686
LBFGS:   10 19:22:57      -35.644298        0.047811
LBFGS:   11 19:22:57      -35.644676        0.051361
LBFGS:   12 19:22:58      -35.645938        0.070563
LBFGS:   13 19:22:58      -35.650290        0.150590
LBFGS:   14 19:22:59      -35.668138        0.526150
LBFGS:   15 19:22:59      -35.681628        0.379708
LBFGS:   16 19:23:00      -35.710497        0.365895
LBFGS:   17 19:23:00      -35.627399        0.411785
LBFGS:   18 19:23:01      -35.759539        0.199717
LBFGS:   19 19:23:01      -35.769423        0.130491
LBFGS:   20 19:23:02      -35.775849        0.031243
LBFGS:   21 19:23:02      -35.775962        0.025937
LBFGS:   22 19:23:03      -35.776127        0.027273
LBFGS:   23 19:23:03      -35.776650        0.034606
LBFGS:   24 19:23:04      -35.777846        0.044042
LBFGS:   25 19:23:04      -35.780579        0.054952
LBFGS:   26 19:23:05      -35.785401        0.060584
LBFGS:   27 19:23:05      -35.791671        0.050241
LBFGS:   28 19:23:06      -35.796484        0.020019
LBFGS:   29 19:23:06      -35.797193        0.004059
