
Reading eigenvectors

 ns, nv, nc, nk =     1   12   12    8
 nmat =     1152

kpoints follow:
    1   0.00000   0.00000   0.00000
    2   0.00000   0.00000   0.12500
    3   0.00000   0.00000   0.25000
    4   0.00000   0.00000   0.37500
    5   0.00000   0.00000   0.50000
    6   0.00000   0.00000  -0.37500
    7   0.00000   0.00000  -0.25000
    8   0.00000   0.00000  -0.12500

exciton energies follow (eV)
wtot = sum_k |A_vck|^2. wmax = max_k |A_vck|^2. |A_vc (ikmax)|^2 = wmax.


 Special analysis for state     1   0.83056
    c    v      wtot      wmax     ikmax
    3    1   0.00198   0.00044         7
    3    2   0.00063   0.00018         2
    3    3   0.01552   0.00540         6
    3    4   0.00425   0.00180         3
    3    5   0.00026   0.00018         3
    3    6   0.00068   0.00057         3
    3    7   0.00006   0.00004         3
    3    8   0.00013   0.00004         1
    3    9   0.00011   0.00004         2
    3   10   0.00018   0.00007         3
    3   11   0.00009   0.00006         3
    3   12   0.00013   0.00005         3
    4    1   0.00154   0.00061         6
    4    2   0.00729   0.00207         5
    4    3   0.00061   0.00021         5
    4    4   0.00056   0.00025         4
    4    5   0.00017   0.00005         3
    4    6   0.00005   0.00003         1
    4    7   0.00021   0.00006         5
    4    8   0.00012   0.00003         8
    4    9   0.00027   0.00016         1
    4   10   0.00029   0.00006         8
    4   11   0.00013   0.00008         5
    4   12   0.00003   0.00001         7
    5    1   0.00031   0.00008         5
    5    2   0.00048   0.00012         8
    5    3   0.00080   0.00028         3
    5    4   0.00043   0.00019         3
    5    5   0.00020   0.00012         3
    5    6   0.00029   0.00019         3
    5    7   0.00032   0.00015         2
    5    8   0.00018   0.00005         8
    5    9   0.00008   0.00004         2
    5   10   0.00004   0.00001         3
    5   11   0.00003   0.00001         4
    5   12   0.00011   0.00003         2
    6    1   0.00015   0.00008         2
    6    2   0.00023   0.00009         7
    6    3   0.00008   0.00004         2
    6    4   0.00041   0.00018         2
    6    5   0.00009   0.00004         3
    6    6   0.00049   0.00016         2
    6    7   0.00050   0.00014         2
    6    8   0.00011   0.00006         1
    6    9   0.00004   0.00001         7
    6   10   0.00010   0.00004         1
    6   11   0.00001   0.00001         7
    6   12   0.00009   0.00003         6
    7    1   0.00016   0.00006         4
    7    2   0.00013   0.00004         4
    7    3   0.00003   0.00002         2
    7    4   0.00007   0.00002         3
    7    5   0.00023   0.00006         5
    7    6   0.00025   0.00010         1
    7    7   0.00017   0.00006         7
    7    8   0.00021   0.00005         7
    7    9   0.00009   0.00005         8
    7   10   0.00002   0.00001         4
    7   11   0.00003   0.00002         1
    7   12   0.00014   0.00007         5
    8    1   0.00011   0.00007         8
    8    2   0.00066   0.00025         1
    8    3   0.00016   0.00006         8
    8    4   0.00024   0.00021         1
    8    5   0.00024   0.00006         7
    8    6   0.00010   0.00004         5
    8    7   0.00008   0.00003         6
    8    8   0.00016   0.00004         6
    8    9   0.00004   0.00002         1
    8   10   0.00001   0.00001         2
    8   11   0.00001   0.00000         1
    8   12   0.00006   0.00002         5
    9    1   0.00041   0.00017         7
    9    2   0.00066   0.00028         7
    9    3   0.00005   0.00003         1
    9    4   0.00030   0.00006         6
    9    5   0.00010   0.00003         1
    9    6   0.00001   0.00001         3
    9    7   0.00007   0.00002         2
    9    8   0.00002   0.00001         4
    9    9   0.00008   0.00004         5
    9   10   0.00007   0.00002         2
    9   11   0.00004   0.00002         7
    9   12   0.00004   0.00001         7
   10    1   0.00003   0.00002         5
   10    2   0.00023   0.00013         1
   10    3   0.00001   0.00001         4
   10    4   0.00030   0.00011         2
   10    5   0.00006   0.00003         3
   10    6   0.00009   0.00003         2
   10    7   0.00002   0.00001         5
   10    8   0.00001   0.00001         5
   10    9   0.00001   0.00000         4
   10   10   0.00011   0.00003         3
   10   11   0.00007   0.00003         1
   10   12   0.00004   0.00001         4
   11    1   0.00016   0.00008         1
   11    2   0.00040   0.00018         2
   11    3   0.00003   0.00001         6
   11    4   0.00014   0.00006         2
   11    5   0.00023   0.00007         2
   11    6   0.00001   0.00001         8
   11    7   0.00003   0.00002         1
   11    8   0.00001   0.00001         1
   11    9   0.00001   0.00001         8
   11   10   0.00003   0.00001         5
   11   11   0.00006   0.00002         6
   11   12   0.00003   0.00002         1
   12    1   0.00001   0.00001         7
   12    2   0.00002   0.00001         7
   12    3   0.00000   0.00000         3
   12    4   0.00001   0.00000         3
   12    5   0.00007   0.00004         7
   12    6   0.00001   0.00000         3
   12    7   0.00000   0.00000         7
   12    8   0.00000   0.00000         7
   12    9   0.00000   0.00000         3
   12   10   0.00000   0.00000         3
   12   11   0.00000   0.00000         3
   12   12   0.00000   0.00000         3


 Special analysis for state     3   1.01223
    c    v      wtot      wmax     ikmax
    1    1   0.00195   0.00075         3
    1    2   0.01779   0.00459         1
    1    3   0.00202   0.00083         3
    1    4   0.00092   0.00040         4
    1    5   0.00006   0.00004         3
    1    6   0.00008   0.00003         3
    1    7   0.00006   0.00004         8
    1    8   0.00002   0.00001         1
    1    9   0.00002   0.00001         5
    1   10   0.00002   0.00001         2
    1   11   0.00000   0.00000         8
    1   12   0.00001   0.00000         3
    2    1   0.81700   0.19832         1
    2    2   0.01596   0.00712         2
    2    3   0.00377   0.00109         6
    2    4   0.00047   0.00027         2
    2    5   0.00010   0.00006         2
    2    6   0.00012   0.00005         2
    2    7   0.00004   0.00002         1
    2    8   0.00006   0.00002         4
