
Reading eigenvectors

 ns, nv, nc, nk =     1   12   12    8
 nmat =     1152

kpoints follow:
    1   0.00000   0.00000   0.00000
    2   0.00000   0.00000   0.12500
    3   0.00000   0.00000   0.25000
    4   0.00000   0.00000   0.37500
    5   0.00000   0.00000   0.50000
    6   0.00000   0.00000  -0.37500
    7   0.00000   0.00000  -0.25000
    8   0.00000   0.00000  -0.12500

exciton energies follow (eV)
wtot = sum_k |A_vck|^2. wmax = max_k |A_vck|^2. |A_vc (ikmax)|^2 = wmax.


 Special analysis for state     1   1.02651
    c    v      wtot      wmax     ikmax
    3    1   0.03957   0.02461         5
    3    2   0.04908   0.00934         2
    3    3   0.00043   0.00017         5
    3    4   0.00075   0.00021         6
    3    5   0.00249   0.00111         5
    3    6   0.00015   0.00011         3
    3    7   0.00011   0.00005         5
    3    8   0.00010   0.00004         2
    3    9   0.00019   0.00016         1
    3   10   0.00006   0.00003         8
    3   11   0.00017   0.00008         2
    3   12   0.00004   0.00002         2
    4    1   0.01232   0.00528         4
    4    2   0.00396   0.00099         3
    4    3   0.03212   0.01129         4
    4    4   0.01496   0.00892         3
    4    5   0.00320   0.00157         1
    4    6   0.00033   0.00020         3
    4    7   0.00017   0.00011         3
    4    8   0.00009   0.00003         6
    4    9   0.00008   0.00004         3
    4   10   0.00002   0.00001         3
    4   11   0.00001   0.00000         3
    4   12   0.00000   0.00000         4
    5    1   0.00011   0.00005         1
    5    2   0.00157   0.00115         5
    5    3   0.00243   0.00127         4
    5    4   0.00796   0.00221         5
    5    5   0.00675   0.00258         3
    5    6   0.00038   0.00033         3
    5    7   0.00012   0.00005         1
    5    8   0.00010   0.00004         8
    5    9   0.00001   0.00000         7
    5   10   0.00001   0.00000         2
    5   11   0.00003   0.00001         8
    5   12   0.00002   0.00001         3
    6    1   0.00007   0.00002         8
    6    2   0.00007   0.00006         2
    6    3   0.00042   0.00032         2
    6    4   0.00007   0.00003         1
    6    5   0.00229   0.00158         2
    6    6   0.00006   0.00005         2
    6    7   0.00009   0.00007         2
    6    8   0.00016   0.00009         2
    6    9   0.00003   0.00002         2
    6   10   0.00000   0.00000         4
    6   11   0.00001   0.00000         8
    6   12   0.00000   0.00000         2
    7    1   0.00002   0.00001         1
    7    2   0.00013   0.00005         8
    7    3   0.00008   0.00003         2
    7    4   0.00026   0.00016         8
    7    5   0.00050   0.00031         2
    7    6   0.00002   0.00001         8
    7    7   0.00039   0.00019         8
    7    8   0.00008   0.00006         8
    7    9   0.00007   0.00006         1
    7   10   0.00000   0.00000         5
    7   11   0.00001   0.00000         1
    7   12   0.00000   0.00000         2
    8    1   0.00001   0.00001         7
    8    2   0.00004   0.00002         7
    8    3   0.00011   0.00004         3
    8    4   0.00005   0.00001         7
    8    5   0.00003   0.00002         1
    8    6   0.00001   0.00000         1
    8    7   0.00059   0.00049         7
    8    8   0.00038   0.00016         7
    8    9   0.00028   0.00017         1
    8   10   0.00012   0.00006         4
    8   11   0.00001   0.00000         5
    8   12   0.00000   0.00000         3
    9    1   0.00008   0.00006         2
    9    2   0.00003   0.00001         6
    9    3   0.00017   0.00009         1
    9    4   0.00010   0.00005         1
    9    5   0.00003   0.00001         3
    9    6   0.00001   0.00000         4
    9    7   0.00006   0.00004         1
    9    8   0.00017   0.00015         1
    9    9   0.00003   0.00002         1
    9   10   0.00015   0.00012         5
    9   11   0.00004   0.00003         2
    9   12   0.00001   0.00000         2
   10    1   0.00003   0.00002         1
   10    2   0.00001   0.00001         2
   10    3   0.00012   0.00007         2
   10    4   0.00003   0.00001         2
   10    5   0.00005   0.00002         2
   10    6   0.00001   0.00000         3
   10    7   0.00003   0.00001         5
   10    8   0.00007   0.00005         5
   10    9   0.00001   0.00000         4
   10   10   0.00004   0.00003         2
   10   11   0.00038   0.00020         2
   10   12   0.00005   0.00003         2
   11    1   0.00001   0.00000         2
   11    2   0.00001   0.00000         5
   11    3   0.00002   0.00001         2
   11    4   0.00002   0.00001         5
   11    5   0.00002   0.00001         6
   11    6   0.00001   0.00000         6
   11    7   0.00000   0.00000         2
   11    8   0.00001   0.00001         6
   11    9   0.00003   0.00001         1
   11   10   0.00002   0.00001         2
   11   11   0.00019   0.00007         6
   11   12   0.00000   0.00000         2
   12    1   0.00000   0.00000         2
   12    2   0.00000   0.00000         7
   12    3   0.00000   0.00000         2
   12    4   0.00000   0.00000         2
   12    5   0.00000   0.00000         7
   12    6   0.00000   0.00000         3
   12    7   0.00000   0.00000         7
   12    8   0.00000   0.00000         7
   12    9   0.00000   0.00000         7
   12   10   0.00000   0.00000         3
   12   11   0.00000   0.00000         2
   12   12   0.00000   0.00000         7


 Special analysis for state     3   1.13202
    c    v      wtot      wmax     ikmax
    1    1   0.11010   0.04180         2
    1    2   0.31771   0.10180         8
    1    3   0.03290   0.01119         4
    1    4   0.00783   0.00386         5
    1    5   0.00428   0.00181         4
    1    6   0.00059   0.00024         2
    1    7   0.00055   0.00031         7
    1    8   0.00053   0.00028         6
    1    9   0.00031   0.00008         8
    1   10   0.00034   0.00010         3
    1   11   0.00009   0.00004         1
    1   12   0.00010   0.00002         4
    2    1   0.26736   0.09464         8
    2    2   0.06389   0.01925         2
    2    3   0.00924   0.00380         5
    2    4   0.01703   0.00581         5
    2    5   0.00023   0.00007         1
    2    6   0.00021   0.00005         5
    2    7   0.00009   0.00004         1
    2    8   0.00009   0.00004         8
    2    9   0.00009   0.00003         5
    2   10   0.00004   0.00001         6
    2   11   0.00001   0.00000         1
    2   12   0.00002   0.00001         4
    3    1   0.07531   0.03063         2
    3    2   0.01445   0.00364         5
    3    3   0.00345   0.00167         5
    3    4   0.00192   0.00108         4
    3    5   0.00451   0.00249         5
    3    6   0.00005   0.00002         3
    3    7   0.00042   0.00036         7
    3    8   0.00022   0.00010         6
    3    9   0.00011   0.00007         2
    3   10   0.00016   0.00006         1
    3   11   0.00005   0.00002         7
    3   12   0.00009   0.00003         7
    4    1   0.00931   0.00722         5
    4    2   0.00049   0.00012         3
    4    3   0.00731   0.00518         4
    4    4   0.00667   0.00354         3
    4    5   0.01359   0.00571         3
    4    6   0.00072   0.00059         3
    4    7   0.00020   0.00007         2
    4    8   0.00027   0.00016         8
    4    9   0.00028   0.00020         1
    4   10   0.00008   0.00003         3
    4   11   0.00004   0.00001         7
    4   12   0.00005   0.00002         6
    5    1   0.00220   0.00081         4
    5    2   0.00584   0.00223         5
    5    3   0.00867   0.00326         6
    5    4   0.00151   0.00043         7
    5    5   0.00144   0.00063         6
    5    6   0.00012   0.00005         3
    5    7   0.00009   0.00003         3
    5    8   0.00025   0.00012         1
    5    9   0.00004   0.00002         4
    5   10   0.00005   0.00002         3
    5   11   0.00002   0.00001         4
    5   12   0.00002   0.00001         1
    6    1   0.00085   0.00026         2
    6    2   0.00005   0.00001         2
    6    3   0.00009   0.00006         4
    6    4   0.00012   0.00006         8
    6    5   0.00039   0.00029         2
    6    6   0.00007   0.00002         8
    6    7   0.00002   0.00001         8
    6    8   0.00003   0.00001         8
    6    9   0.00002   0.00001         3
    6   10   0.00003   0.00001         2
    6   11   0.00019   0.00011         2
    6   12   0.00006   0.00003         2
    7    1   0.00023   0.00018         2
    7    2   0.00021   0.00009         2
    7    3   0.00028   0.00011         2
    7    4   0.00024   0.00018         8
    7    5   0.00027   0.00015         2
    7    6   0.00002   0.00001         2
    7    7   0.00006   0.00003         8
    7    8   0.00005   0.00003         8
    7    9   0.00001   0.00000         2
    7   10   0.00001   0.00000         1
    7   11   0.00005   0.00003         2
    7   12   0.00002   0.00001         2
    8    1   0.00007   0.00003         3
    8    2   0.00006   0.00002         4
    8    3   0.00013   0.00006         3
    8    4   0.00010   0.00005         1
    8    5   0.00016   0.00012         1
    8    6   0.00003   0.00001         7
    8    7   0.00009   0.00003         3
    8    8   0.00006   0.00002         4
    8    9   0.00003   0.00001         7
    8   10   0.00001   0.00000         6
    8   11   0.00001   0.00001         7
    8   12   0.00001   0.00000         7
    9    1   0.00007   0.00002         8
    9    2   0.00009   0.00004         2
    9    3   0.00040   0.00018         1
    9    4   0.00018   0.00011         1
    9    5   0.00011   0.00004         2
    9    6   0.00002   0.00001         7
    9    7   0.00004   0.00002         7
