       Step     Time          Energy          fmax
LBFGS:    0 17:45:22      -30.140405        2.537677
LBFGS:    1 17:45:23      -30.512779        2.256403
LBFGS:    2 17:45:23      -31.415386        1.288067
LBFGS:    3 17:45:24      -31.491661        0.711920
LBFGS:    4 17:45:24      -31.564093        0.636971
LBFGS:    5 17:45:24      -32.174282        0.661599
LBFGS:    6 17:45:24      -32.520099        1.236385
LBFGS:    7 17:45:25      -32.759153        1.583923
LBFGS:    8 17:45:25      -33.006203        1.423692
LBFGS:    9 17:45:25      -33.960094        0.251982
LBFGS:   10 17:45:26      -34.011575        0.173203
LBFGS:   11 17:45:26      -34.020506        0.113085
LBFGS:   12 17:45:26      -34.024541        0.058570
LBFGS:   13 17:45:27      -34.025888        0.020256
LBFGS:   14 17:45:27      -34.026052        0.002964
