       Step     Time          Energy          fmax
LBFGS:    0 17:39:05      -33.627087        1.163378
LBFGS:    1 17:39:06      -33.719173        1.055237
LBFGS:    2 17:39:06      -34.055746        1.140082
LBFGS:    3 17:39:07      -34.144410        0.723184
LBFGS:    4 17:39:07      -34.218018        0.646641
LBFGS:    5 17:39:07      -34.771740        0.263692
LBFGS:    6 17:39:08      -34.775370        0.322463
LBFGS:    7 17:39:08      -34.798501        0.174351
LBFGS:    8 17:39:08      -34.803443        0.112994
LBFGS:    9 17:39:09      -34.806822        0.064089
LBFGS:   10 17:39:09      -34.807328        0.065493
LBFGS:   11 17:39:09      -34.808708        0.060890
LBFGS:   12 17:39:10      -34.810096        0.052351
LBFGS:   13 17:39:10      -34.811315        0.036251
LBFGS:   14 17:39:10      -34.811660        0.020287
LBFGS:   15 17:39:11      -34.811745        0.016975
LBFGS:   16 17:39:11      -34.811784        0.019251
LBFGS:   17 17:39:12      -34.811908        0.023936
LBFGS:   18 17:39:12      -34.812239        0.032264
LBFGS:   19 17:39:12      -34.813302        0.052801
LBFGS:   20 17:39:13      -34.817536        0.123438
LBFGS:   21 17:39:13      -34.810029        0.267888
LBFGS:   22 17:39:13      -34.827465        0.167010
LBFGS:   23 17:39:14      -34.837509        0.165887
LBFGS:   24 17:39:14      -34.885757        0.144111
LBFGS:   25 17:39:14      -34.903360        0.008421
