       Step     Time          Energy          fmax
LBFGS:    0 17:20:45      -32.803552        1.791804
LBFGS:    1 17:20:46      -32.978277        1.605283
LBFGS:    2 17:20:46      -33.500376        1.172427
LBFGS:    3 17:20:46      -33.575486        0.677689
LBFGS:    4 17:20:47      -33.620727        0.591122
LBFGS:    5 17:20:47      -33.899400        0.266586
LBFGS:    6 17:20:47      -33.915314        0.295912
LBFGS:    7 17:20:48      -33.937364        0.345070
LBFGS:    8 17:20:48      -33.997826        0.610119
LBFGS:    9 17:20:49      -34.077530        0.992578
LBFGS:   10 17:20:49      -34.223151        0.920527
LBFGS:   11 17:20:49      -34.220840        0.725124
LBFGS:   12 17:20:50      -34.557583        0.212940
LBFGS:   13 17:20:50      -34.578717        0.113493
LBFGS:   14 17:20:50      -34.583190        0.027206
LBFGS:   15 17:20:51      -34.583415        0.013888
LBFGS:   16 17:20:51      -34.583480        0.010192
LBFGS:   17 17:20:51      -34.583503        0.010643
LBFGS:   18 17:20:52      -34.583544        0.012755
LBFGS:   19 17:20:52      -34.583633        0.018137
LBFGS:   20 17:20:53      -34.583910        0.030344
LBFGS:   21 17:20:53      -34.584889        0.060017
LBFGS:   22 17:20:53      -34.602579        0.219148
LBFGS:   23 17:20:54      -34.517854        0.427466
LBFGS:   24 17:20:54      -34.611266        0.222119
LBFGS:   25 17:20:54      -34.616740        0.216780
LBFGS:   26 17:20:55      -34.642452        0.167477
LBFGS:   27 17:20:55      -34.653438        0.133945
LBFGS:   28 17:20:55      -34.666107        0.030859
LBFGS:   29 17:20:56      -34.666734        0.006627
