       Step     Time          Energy          fmax
LBFGS:    0 17:28:03      -35.312933        0.341653
LBFGS:    1 17:28:03      -35.319933        0.304844
LBFGS:    2 17:28:04      -35.343253        0.163263
LBFGS:    3 17:28:04      -35.344726        0.143694
LBFGS:    4 17:28:05      -35.356793        0.113644
LBFGS:    5 17:28:05      -35.368677        0.134153
LBFGS:    6 17:28:06      -35.388986        0.177810
LBFGS:    7 17:28:06      -35.403550        0.166312
LBFGS:    8 17:28:07      -35.415606        0.186715
LBFGS:    9 17:28:07      -35.421570        0.180543
LBFGS:   10 17:28:08      -35.426747        0.158484
LBFGS:   11 17:28:08      -35.432178        0.137395
LBFGS:   12 17:28:09      -35.450795        0.064596
LBFGS:   13 17:28:09      -35.453899        0.035650
LBFGS:   14 17:28:09      -35.454242        0.036579
LBFGS:   15 17:28:10      -35.454413        0.036302
LBFGS:   16 17:28:10      -35.455058        0.035542
LBFGS:   17 17:28:11      -35.456263        0.046267
LBFGS:   18 17:28:11      -35.458854        0.069116
LBFGS:   19 17:28:12      -35.462387        0.076131
LBFGS:   20 17:28:12      -35.465167        0.053017
LBFGS:   21 17:28:13      -35.466285        0.019797
LBFGS:   22 17:28:13      -35.466442        0.004158
