       Step     Time          Energy          fmax
LBFGS:    0 17:30:01      -35.139434        0.516138
LBFGS:    1 17:30:01      -35.167257        0.487018
LBFGS:    2 17:30:02      -35.258374        0.439653
LBFGS:    3 17:30:02      -35.325690        0.141543
LBFGS:    4 17:30:02      -35.330798        0.107634
LBFGS:    5 17:30:03      -35.331675        0.100339
LBFGS:    6 17:30:03      -35.333392        0.081464
LBFGS:    7 17:30:03      -35.335606        0.071645
LBFGS:    8 17:30:04      -35.337093        0.077379
LBFGS:    9 17:30:04      -35.337732        0.069069
LBFGS:   10 17:30:05      -35.338273        0.054744
LBFGS:   11 17:30:05      -35.339041        0.048144
LBFGS:   12 17:30:05      -35.339715        0.043125
LBFGS:   13 17:30:06      -35.340060        0.028230
LBFGS:   14 17:30:06      -35.340194        0.028873
LBFGS:   15 17:30:07      -35.340329        0.034532
LBFGS:   16 17:30:07      -35.340683        0.045487
LBFGS:   17 17:30:07      -35.341581        0.065234
LBFGS:   18 17:30:08      -35.343965        0.100833
LBFGS:   19 17:30:08      -35.348941        0.147474
LBFGS:   20 17:30:09      -35.355477        0.150193
LBFGS:   21 17:30:09      -35.364012        0.081395
LBFGS:   22 17:30:09      -35.366807        0.017499
LBFGS:   23 17:30:10      -35.366956        0.002623
