       Step     Time          Energy          fmax
LBFGS:    0 16:54:02      -34.708566        0.621394
LBFGS:    1 16:54:03      -34.751366        0.599954
LBFGS:    2 16:54:03      -34.936956        0.709361
LBFGS:    3 16:54:04      -35.085359        0.329710
LBFGS:    4 16:54:04      -35.107372        0.295880
LBFGS:    5 16:54:04      -35.116483        0.267140
LBFGS:    6 16:54:05      -35.127334        0.210869
LBFGS:    7 16:54:05      -35.138131        0.115366
LBFGS:    8 16:54:05      -35.141475        0.116448
LBFGS:    9 16:54:06      -35.142794        0.119151
LBFGS:   10 16:54:06      -35.145661        0.109760
LBFGS:   11 16:54:07      -35.149154        0.076617
LBFGS:   12 16:54:07      -35.151906        0.061841
LBFGS:   13 16:54:07      -35.152864        0.035793
LBFGS:   14 16:54:08      -35.153013        0.026227
LBFGS:   15 16:54:08      -35.153148        0.032007
LBFGS:   16 16:54:08      -35.153606        0.045395
LBFGS:   17 16:54:09      -35.154714        0.067234
LBFGS:   18 16:54:09      -35.158270        0.114994
LBFGS:   19 16:54:09      -35.167516        0.216906
LBFGS:   20 16:54:10      -35.177719        0.238046
LBFGS:   21 16:54:10      -35.199800        0.189374
LBFGS:   22 16:54:11      -35.213487        0.058595
LBFGS:   23 16:54:11      -35.215240        0.016051
LBFGS:   24 16:54:11      -35.215430        0.005933
