       Step     Time          Energy          fmax
LBFGS:    0 17:24:18      -34.708567        0.621395
LBFGS:    1 17:24:19      -34.751358        0.599952
LBFGS:    2 17:24:19      -34.936956        0.709362
LBFGS:    3 17:24:19      -35.085363        0.329709
LBFGS:    4 17:24:20      -35.107372        0.295880
LBFGS:    5 17:24:20      -35.116490        0.267137
LBFGS:    6 17:24:21      -35.127330        0.210867
LBFGS:    7 17:24:21      -35.138130        0.115368
LBFGS:    8 17:24:21      -35.141474        0.116441
LBFGS:    9 17:24:22      -35.142786        0.119155
LBFGS:   10 17:24:22      -35.145661        0.109766
LBFGS:   11 17:24:22      -35.149158        0.076605
LBFGS:   12 17:24:23      -35.151913        0.061839
LBFGS:   13 17:24:23      -35.152856        0.035791
LBFGS:   14 17:24:24      -35.153025        0.026237
LBFGS:   15 17:24:24      -35.153148        0.031997
LBFGS:   16 17:24:24      -35.153609        0.045457
LBFGS:   17 17:24:25      -35.154714        0.067247
LBFGS:   18 17:24:25      -35.158270        0.115078
LBFGS:   19 17:24:25      -35.167539        0.217306
LBFGS:   20 17:24:26      -35.177745        0.237740
LBFGS:   21 17:24:26      -35.200018        0.188142
LBFGS:   22 17:24:27      -35.213493        0.058519
LBFGS:   23 17:24:27      -35.215245        0.015934
LBFGS:   24 17:24:27      -35.215441        0.005881
