       Step     Time          Energy          fmax
LBFGS:    0 16:54:45      -34.901100        0.615644
LBFGS:    1 16:54:46      -34.933707        0.581288
LBFGS:    2 16:54:46      -35.108625        0.919042
LBFGS:    3 16:54:46      -35.196584        0.526830
LBFGS:    4 16:54:47      -35.224817        0.498634
LBFGS:    5 16:54:47      -35.309757        0.314640
LBFGS:    6 16:54:48      -35.330423        0.169675
LBFGS:    7 16:54:48      -35.334104        0.136955
LBFGS:    8 16:54:48      -35.342011        0.191249
LBFGS:    9 16:54:49      -35.349567        0.197443
LBFGS:   10 16:54:49      -35.359375        0.142553
LBFGS:   11 16:54:50      -35.364119        0.063233
LBFGS:   12 16:54:50      -35.365491        0.021581
LBFGS:   13 16:54:50      -35.365587        0.020001
LBFGS:   14 16:54:51      -35.365664        0.020986
LBFGS:   15 16:54:51      -35.365941        0.026486
LBFGS:   16 16:54:51      -35.366599        0.039063
LBFGS:   17 16:54:52      -35.368457        0.064815
LBFGS:   18 16:54:52      -35.372930        0.105434
LBFGS:   19 16:54:53      -35.378512        0.122182
LBFGS:   20 16:54:53      -35.384169        0.093607
LBFGS:   21 16:54:53      -35.389921        0.020373
LBFGS:   22 16:54:54      -35.390151        0.002254
