       Step     Time          Energy          fmax
LBFGS:    0 16:51:32      -34.443863        0.945859
LBFGS:    1 16:51:32      -34.492950        0.852979
LBFGS:    2 16:51:33      -34.705377        0.617682
LBFGS:    3 16:51:33      -34.725500        0.520173
LBFGS:    4 16:51:34      -34.820759        0.261878
LBFGS:    5 16:51:34      -34.909396        0.358240
LBFGS:    6 16:51:34      -34.966966        0.493010
LBFGS:    7 16:51:35      -34.994598        0.507927
LBFGS:    8 16:51:35      -35.065025        0.449399
LBFGS:    9 16:51:35      -35.135884        0.477216
LBFGS:   10 16:51:36      -35.197504        0.384768
LBFGS:   11 16:51:36      -35.241891        0.130594
LBFGS:   12 16:51:37      -35.246824        0.044053
LBFGS:   13 16:51:37      -35.247326        0.024960
LBFGS:   14 16:51:37      -35.247452        0.024859
LBFGS:   15 16:51:38      -35.247567        0.025591
LBFGS:   16 16:51:38      -35.248320        0.029177
LBFGS:   17 16:51:39      -35.249901        0.042522
LBFGS:   18 16:51:39      -35.254328        0.070820
LBFGS:   19 16:51:39      -35.261153        0.106988
LBFGS:   20 16:51:40      -35.268540        0.093733
LBFGS:   21 16:51:40      -35.280360        0.031903
LBFGS:   22 16:51:41      -35.280694        0.006280
