       Step     Time          Energy          fmax
LBFGS:    0 17:32:25      -35.215577        0.298024
LBFGS:    1 17:32:25      -35.221820        0.256214
LBFGS:    2 17:32:26      -35.236200        0.094363
LBFGS:    3 17:32:27      -35.236709        0.081282
LBFGS:    4 17:32:27      -35.240044        0.080033
LBFGS:    5 17:32:28      -35.243502        0.085979
LBFGS:    6 17:32:28      -35.245510        0.051469
LBFGS:    7 17:32:29      -35.246174        0.023198
LBFGS:    8 17:32:29      -35.246251        0.013960
LBFGS:    9 17:32:30      -35.246266        0.013416
LBFGS:   10 17:32:30      -35.246527        0.023573
LBFGS:   11 17:32:31      -35.246936        0.033861
LBFGS:   12 17:32:31      -35.247487        0.040187
LBFGS:   13 17:32:32      -35.247801        0.025384
LBFGS:   14 17:32:32      -35.247958        0.008683
