       Step     Time          Energy          fmax
LBFGS:    0 17:17:31      -35.346304        0.452212
LBFGS:    1 17:17:31      -35.359247        0.404015
LBFGS:    2 17:17:32      -35.410105        0.078324
LBFGS:    3 17:17:32      -35.410754        0.077251
LBFGS:    4 17:17:33      -35.418112        0.042798
LBFGS:    5 17:17:33      -35.418557        0.039813
LBFGS:    6 17:17:33      -35.418752        0.036723
LBFGS:    7 17:17:34      -35.418940        0.029995
LBFGS:    8 17:17:34      -35.419112        0.019851
LBFGS:    9 17:17:35      -35.419174        0.014092
LBFGS:   10 17:17:35      -35.419214        0.015419
LBFGS:   11 17:17:36      -35.419273        0.020017
LBFGS:   12 17:17:36      -35.419414        0.028230
LBFGS:   13 17:17:36      -35.419771        0.041463
LBFGS:   14 17:17:37      -35.420653        0.060629
LBFGS:   15 17:17:37      -35.422343        0.077548
LBFGS:   16 17:17:38      -35.424348        0.067882
LBFGS:   17 17:17:38      -35.425725        0.032413
LBFGS:   18 17:17:39      -35.426214        0.004519
