       Step     Time          Energy          fmax
LBFGS:    0 17:48:23      -35.043786        0.569441
LBFGS:    1 17:48:24      -35.069532        0.531968
LBFGS:    2 17:48:24      -35.224715        0.776515
LBFGS:    3 17:48:25      -35.265598        0.533048
LBFGS:    4 17:48:25      -35.303757        0.444644
LBFGS:    5 17:48:25      -35.415630        0.242251
LBFGS:    6 17:48:26      -35.423742        0.141516
LBFGS:    7 17:48:26      -35.426636        0.141946
LBFGS:    8 17:48:27      -35.455468        0.110311
LBFGS:    9 17:48:27      -35.460678        0.057248
LBFGS:   10 17:48:28      -35.461493        0.024804
LBFGS:   11 17:48:28      -35.461571        0.021261
LBFGS:   12 17:48:28      -35.461664        0.025874
LBFGS:   13 17:48:29      -35.461960        0.034933
LBFGS:   14 17:48:29      -35.462668        0.048103
LBFGS:   15 17:48:29      -35.464475        0.068188
LBFGS:   16 17:48:30      -35.468173        0.090971
LBFGS:   17 17:48:30      -35.472654        0.090627
LBFGS:   18 17:48:31      -35.477199        0.056776
LBFGS:   19 17:48:31      -35.479342        0.005662
