       Step     Time          Energy          fmax
LBFGS:    0 17:10:30      -35.311478        0.183426
LBFGS:    1 17:10:30      -35.314807        0.171577
LBFGS:    2 17:10:31      -35.331279        0.097627
LBFGS:    3 17:10:31      -35.332783        0.048428
LBFGS:    4 17:10:32      -35.333020        0.045926
LBFGS:    5 17:10:32      -35.333732        0.025684
LBFGS:    6 17:10:33      -35.333820        0.018642
LBFGS:    7 17:10:33      -35.333891        0.025111
LBFGS:    8 17:10:34      -35.334001        0.031280
LBFGS:    9 17:10:34      -35.334317        0.043326
LBFGS:   10 17:10:35      -35.335050        0.059831
LBFGS:   11 17:10:35      -35.336295        0.071965
LBFGS:   12 17:10:36      -35.337437        0.060846
LBFGS:   13 17:10:36      -35.338910        0.009090
