       Step     Time          Energy          fmax
LBFGS:    0 16:41:39      -35.272700        0.278493
LBFGS:    1 16:41:40      -35.278943        0.237574
LBFGS:    2 16:41:41      -35.293332        0.081739
LBFGS:    3 16:41:41      -35.293751        0.071018
LBFGS:    4 16:41:42      -35.295816        0.064658
LBFGS:    5 16:41:42      -35.299542        0.091086
LBFGS:    6 16:41:43      -35.303257        0.106383
LBFGS:    7 16:41:43      -35.305094        0.077340
LBFGS:    8 16:41:44      -35.306054        0.040753
LBFGS:    9 16:41:44      -35.306200        0.041589
LBFGS:   10 16:41:45      -35.308605        0.047692
LBFGS:   11 16:41:46      -35.309836        0.033138
LBFGS:   12 16:41:46      -35.310856        0.010688
LBFGS:   13 16:41:47      -35.310910        0.010102
LBFGS:   14 16:41:47      -35.310911        0.010504
LBFGS:   15 16:41:48      -35.310964        0.010937
LBFGS:   16 16:41:48      -35.311084        0.011108
LBFGS:   17 16:41:49      -35.311277        0.010364
LBFGS:   18 16:41:49      -35.311497        0.008805
