,weight,energy
0,887.0326935588838,-0.00037432455924784236
1,69007.56774443224,-0.00031960340168360056
2,23946.49807218289,-0.0002648822441193587
3,1.5482777222043405e-06,-0.00021016108655511688
4,2.9356227173628182e-12,-0.00015543992899087506
5,292.7016566726199,-0.00010071877142663326
6,38950.150593255734,-4.599761386239141e-05
7,39888.00554268958,8.723543701850446e-06
8,1415.451947619802,6.344470126609224e-05
9,124211.86622531844,0.00011816585883033404
10,267.3928812440558,0.00017288701639457584
11,99761.237876686,0.00022760817395881775
12,60923.79341903164,0.00028232933152305955
13,128897.2923048805,0.00033705048908730135
14,515258.1162641959,0.00039177164665154325
15,98921.1008496217,0.00044649280421578505
16,362996.6543032692,0.0005012139617800268
17,591153.8683987568,0.0005559351193442686
18,586782.7698326841,0.0006106562769085104
19,546322.5110910172,0.0006653774344727522
20,566861.9229339127,0.000720098592036994
21,575176.8278556954,0.0007748197496012361
22,852097.6150416173,0.0008295409071654779
23,954694.0588085057,0.0008842620647297197
24,567415.0491269606,0.0009389832222939615
25,1611560.5991838532,0.0009937043798582033
26,1301336.7354007706,0.001048425537422445
27,1314967.249284372,0.0011031466949866869
28,1757447.4163145018,0.0011578678525509289
29,1936199.440635713,0.0012125890101151707
30,1204922.9064386608,0.0012673101676794125
31,1869404.3850300545,0.0013220313252436543
32,2038292.452292335,0.001376752482807896
33,1953901.1514701794,0.0014314736403721379
34,2085743.7877998922,0.0014861947979363797
35,2079509.4510273119,0.0015409159555006215
36,3261045.94622485,0.0015956371130648633
37,2976349.779309872,0.001650358270629105
38,2857583.0579066416,0.0017050794281933469
39,2845059.517167749,0.0017598005857575887
40,3407773.6340773865,0.0018145217433218304
41,4673440.162039894,0.0018692429008860727
42,5741101.123341605,0.0019239640584503145
43,3586867.333477464,0.001978685216014556
44,4708653.43110279,0.002033406373578798
45,4316369.969123569,0.0020881275311430397
46,6281944.8239726685,0.0021428486887072815
47,5392962.479697382,0.0021975698462715233
48,6662527.255089942,0.002252291003835765
49,7119261.100085329,0.002307012161400007
50,8030181.867857553,0.0023617333189642487
51,6853336.882825435,0.0024164544765284904
52,7913043.697018282,0.0024711756340927322
53,6956642.399436704,0.002525896791656974
54,6149376.441221247,0.002580617949221216
55,8631472.600807494,0.0026353391067854576
56,9725655.920559764,0.0026900602643497003
57,8303705.950185894,0.002744781421913942
58,11374559.695925457,0.002799502579478184
59,9408477.104258304,0.0028542237370424257
60,8723663.577891313,0.0029089448946066675
61,10397935.30419247,0.0029636660521709093
62,11916488.617959568,0.003018387209735151
63,7050426.806425883,0.003073108367299393
64,10607302.493030021,0.0031278295248636347
65,13381254.205432406,0.0031825506824278765
66,11767403.095178444,0.0032372718399921183
67,15601171.107712908,0.00329199299755636
68,14290215.317917624,0.003346714155120602
69,15491479.506798735,0.0034014353126848437
70,13647215.334202966,0.0034561564702490855
71,13030874.625292407,0.0035108776278133273
72,13182330.256015657,0.003565598785377569
73,17359550.070788074,0.003620319942941811
74,16441494.379465403,0.0036750411005060527
75,17564845.084717356,0.0037297622580702945
76,15468015.090617225,0.0037844834156345363
77,15689397.629168602,0.003839204573198778
78,18524987.33327108,0.00389392573076302
79,17892493.665062763,0.003948646888327262
80,18901242.71371121,0.0040033680458915035
81,20768044.67129224,0.004058089203455746
82,18297061.931038238,0.004112810361019988
83,20323361.044972062,0.00416753151858423
84,21741371.699948058,0.0042222526761484715
85,21142584.23803312,0.004276973833712713
86,22734840.17295282,0.004331694991276955
87,21722718.65947896,0.004386416148841197
88,20636594.527715623,0.004441137306405439
89,21981844.973235857,0.0044958584639696805
90,24580212.67446287,0.004550579621533922
91,24679477.272097275,0.004605300779098164
92,27072223.238546755,0.004660021936662406
93,28421053.73806797,0.004714743094226648
94,28316412.553001665,0.0047694642517908895
95,29968691.874507472,0.004824185409355131
96,25381698.874504104,0.004878906566919373
97,25284602.598112237,0.004933627724483615
98,30849947.86459887,0.004988348882047857
99,35175543.60684531,0.0050430700396120985
100,36428450.65896337,0.00509779119717634
101,35729535.99033735,0.005152512354740582
102,34721747.439814165,0.005207233512304824
103,33311128.58757504,0.005261954669869066
104,33496635.96950542,0.0053166758274333075
105,38177890.22602728,0.005371396984997549
106,45697350.94953946,0.005426118142561791
107,38162714.30244803,0.005480839300126033
108,43784283.957306,0.005535560457690275
109,40232093.103990056,0.0055902816152545165
110,45143870.0868949,0.005645002772818758
111,48431094.22018515,0.005699723930383
112,48444693.42412644,0.005754445087947243
113,48689860.73265025,0.0058091662455114846
114,52550254.14768281,0.005863887403075726
115,58395601.163230725,0.005918608560639968
116,61407569.525347054,0.00597332971820421
117,65686043.129078105,0.006028050875768452
118,71053063.54286636,0.0060827720333326936
119,75225009.95165159,0.006137493190896935
120,77853366.26271558,0.006192214348461177
121,83103037.19905896,0.006246935506025419
122,89472388.23246564,0.006301656663589661
123,92734113.12718198,0.0063563778211539025
124,89042306.0009257,0.006411098978718144
125,114301604.64357424,0.006465820136282386
126,104836056.19626848,0.006520541293846628
127,117878523.69143996,0.00657526245141087
128,123401319.83981395,0.0066299836089751115
129,123442878.91084056,0.006684704766539353
130,118365670.32215883,0.006739425924103595
131,117322114.66929558,0.006794147081667837
132,129544237.82835612,0.006848868239232079
133,133372089.53740473,0.0069035893967963205
134,132992981.49127421,0.006958310554360562
135,139132276.48728952,0.007013031711924804
136,150451251.48175249,0.007067752869489046
137,164065063.13625178,0.007122474027053288
138,151623482.7466224,0.0071771951846175295
139,139012492.15210867,0.007231916342181771
140,141112925.43936044,0.007286637499746013
