       Step     Time          Energy          fmax
LBFGS:    0 02:22:46      -35.101036        0.540001
LBFGS:    1 02:22:55      -35.116919        0.485339
LBFGS:    2 02:23:05      -35.181963        0.331917
LBFGS:    3 02:23:14      -35.187522        0.286904
LBFGS:    4 02:23:23      -35.215293        0.129451
LBFGS:    5 02:23:33      -35.235603        0.150300
LBFGS:    6 02:23:42      -35.247439        0.135863
LBFGS:    7 02:23:52      -35.252936        0.153459
LBFGS:    8 02:24:01      -35.257689        0.170950
LBFGS:    9 02:24:11      -35.271271        0.240699
LBFGS:   10 02:24:21      -35.270916        0.341695
LBFGS:   11 02:24:30      -35.296776        0.266945
LBFGS:   12 02:24:40      -35.311268        0.239426
LBFGS:   13 02:24:49      -35.341078        0.237136
LBFGS:   14 02:24:59      -35.360572        0.074285
LBFGS:   15 02:25:08      -35.362431        0.043920
LBFGS:   16 02:25:18      -35.362733        0.048436
LBFGS:   17 02:25:27      -35.363102        0.055028
LBFGS:   18 02:25:37      -35.365567        0.083106
LBFGS:   19 02:25:46      -35.369836        0.109161
LBFGS:   20 02:25:56      -35.379313        0.132396
LBFGS:   21 02:26:05      -35.390067        0.116302
LBFGS:   22 02:26:15      -35.396417        0.051460
LBFGS:   23 02:26:24      -35.397431        0.012028
LBFGS:   24 02:26:34      -35.397510        0.003727
