       Step     Time          Energy          fmax
LBFGS:    0 23:53:20      -34.997369        0.748565
LBFGS:    1 23:53:30      -35.056565        0.716498
LBFGS:    2 23:53:40      -35.224004        0.929365
LBFGS:    3 23:53:49      -35.424219        0.329683
LBFGS:    4 23:53:58      -35.447230        0.308024
LBFGS:    5 23:54:08      -35.455670        0.293321
LBFGS:    6 23:54:17      -35.468022        0.246958
LBFGS:    7 23:54:26      -35.482049        0.168487
LBFGS:    8 23:54:36      -35.490298        0.209551
LBFGS:    9 23:54:45      -35.494846        0.215147
LBFGS:   10 23:54:54      -35.501304        0.198040
LBFGS:   11 23:55:04      -35.510006        0.141554
LBFGS:   12 23:55:13      -35.516577        0.078784
LBFGS:   13 23:55:23      -35.518808        0.027907
LBFGS:   14 23:55:32      -35.518987        0.009754
