       Step     Time          Energy          fmax
LBFGS:    0 01:20:58      -35.205303        0.428709
LBFGS:    1 01:21:07      -35.220032        0.397944
LBFGS:    2 01:21:17      -35.309523        0.602551
LBFGS:    3 01:21:26      -35.335971        0.405968
LBFGS:    4 01:21:35      -35.356103        0.355517
LBFGS:    5 01:21:45      -35.413846        0.269667
LBFGS:    6 01:21:54      -35.427056        0.109416
LBFGS:    7 01:22:03      -35.429290        0.117398
LBFGS:    8 01:22:13      -35.433990        0.150917
LBFGS:    9 01:22:22      -35.441668        0.174836
LBFGS:   10 01:22:32      -35.455378        0.162098
LBFGS:   11 01:22:41      -35.463773        0.092681
LBFGS:   12 01:22:51      -35.465522        0.049306
LBFGS:   13 01:23:00      -35.466032        0.041676
LBFGS:   14 01:23:09      -35.466294        0.045776
LBFGS:   15 01:23:19      -35.467124        0.055651
LBFGS:   16 01:23:28      -35.468906        0.069278
LBFGS:   17 01:23:38      -35.472645        0.082311
LBFGS:   18 01:23:48      -35.478146        0.075842
LBFGS:   19 01:23:57      -35.483144        0.040010
LBFGS:   20 01:24:06      -35.484217        0.014763
LBFGS:   21 01:24:16      -35.484466        0.003140
