       Step     Time          Energy          fmax
LBFGS:    0 17:25:02      -32.427147        1.534877
LBFGS:    1 17:25:12      -32.574053        1.393724
LBFGS:    2 17:25:22      -32.819059        1.444256
LBFGS:    3 17:25:32      -33.020693        0.481399
LBFGS:    4 17:25:43      -33.054960        0.415536
LBFGS:    5 17:25:53      -33.094227        0.603351
LBFGS:    6 17:26:03      -33.176217        0.831479
LBFGS:    7 17:26:13      -33.505302        1.419948
LBFGS:    8 17:26:23      -33.786809        1.680498
LBFGS:    9 17:26:34      -33.953736        1.278340
LBFGS:   10 17:26:44      -34.092284        0.990738
LBFGS:   11 17:26:54      -34.295546        0.319045
LBFGS:   12 17:27:03      -34.324390        0.216957
LBFGS:   13 17:27:13      -34.330352        0.222549
LBFGS:   14 17:27:23      -34.345221        0.204719
LBFGS:   15 17:27:33      -34.355049        0.150242
LBFGS:   16 17:27:43      -34.362823        0.062882
LBFGS:   17 17:27:53      -34.364249        0.025851
LBFGS:   18 17:28:03      -34.364380        0.017068
LBFGS:   19 17:28:13      -34.364421        0.015695
LBFGS:   20 17:28:23      -34.364528        0.017280
LBFGS:   21 17:28:33      -34.364775        0.020502
LBFGS:   22 17:28:43      -34.365371        0.029756
LBFGS:   23 17:28:54      -34.366504        0.041717
LBFGS:   24 17:29:04      -34.367906        0.041617
LBFGS:   25 17:29:14      -34.368840        0.021937
LBFGS:   26 17:29:24      -34.369090        0.003047
