       Step     Time          Energy          fmax
LBFGS:    0 04:42:31      -35.144013        0.299065
LBFGS:    1 04:42:41      -35.152656        0.280104
LBFGS:    2 04:42:50      -35.199822        0.417044
LBFGS:    3 04:43:00      -35.221234        0.234878
LBFGS:    4 04:43:09      -35.226550        0.229836
LBFGS:    5 04:43:19      -35.241522        0.177949
LBFGS:    6 04:43:28      -35.246107        0.123041
LBFGS:    7 04:43:37      -35.249514        0.118957
LBFGS:    8 04:43:47      -35.250929        0.134680
LBFGS:    9 04:43:56      -35.256885        0.164567
LBFGS:   10 04:44:06      -35.264672        0.157701
LBFGS:   11 04:44:15      -35.271800        0.109642
LBFGS:   12 04:44:24      -35.276660        0.065311
LBFGS:   13 04:44:34      -35.278138        0.032560
LBFGS:   14 04:44:43      -35.278266        0.030454
LBFGS:   15 04:44:53      -35.278595        0.034645
LBFGS:   16 04:45:02      -35.279369        0.041082
LBFGS:   17 04:45:12      -35.281303        0.049471
LBFGS:   18 04:45:21      -35.285045        0.064798
LBFGS:   19 04:45:30      -35.288336        0.063915
LBFGS:   20 04:45:40      -35.291552        0.032723
LBFGS:   21 04:45:49      -35.292176        0.008396
