       Step     Time          Energy          fmax
LBFGS:    0 23:30:39      -35.026397        0.356396
LBFGS:    1 23:30:48      -35.033301        0.318189
LBFGS:    2 23:30:58      -35.060865        0.202355
LBFGS:    3 23:31:07      -35.063042        0.190119
LBFGS:    4 23:31:17      -35.090882        0.052692
LBFGS:    5 23:31:26      -35.093291        0.059131
LBFGS:    6 23:31:36      -35.094954        0.069127
LBFGS:    7 23:31:45      -35.097533        0.091763
LBFGS:    8 23:31:54      -35.098462        0.095413
LBFGS:    9 23:32:04      -35.077133        0.134272
LBFGS:   10 23:32:13      -34.955665        0.783013
LBFGS:   11 23:32:23      -35.088552        0.066087
LBFGS:   12 23:32:32      -35.089653        0.055973
LBFGS:   13 23:32:41      -35.088140        0.032238
LBFGS:   14 23:32:51      -35.085334        0.110109
LBFGS:   15 23:33:01      -35.088718        0.037387
LBFGS:   16 23:33:10      -35.089627        0.046426
LBFGS:   17 23:33:19      -35.084014        0.130962
LBFGS:   18 23:33:29      -35.091245        0.054518
LBFGS:   19 23:33:39      -35.094026        0.070522
LBFGS:   20 23:33:48      -34.969714        0.698322
LBFGS:   21 23:33:57      -35.091194        0.140319
LBFGS:   22 23:34:07      -35.085373        0.160147
LBFGS:   23 23:34:16      -35.092373        0.206966
LBFGS:   24 23:34:26      -35.109225        0.129001
LBFGS:   25 23:34:35      -35.113249        0.155178
LBFGS:   26 23:34:44      -35.111714        0.174042
LBFGS:   27 23:34:54      -35.115845        0.133178
LBFGS:   28 23:35:03      -35.119795        0.111916
LBFGS:   29 23:35:12      -35.126004        0.060323
LBFGS:   30 23:35:22      -35.128857        0.045943
LBFGS:   31 23:35:31      -35.129650        0.031476
LBFGS:   32 23:35:41      -35.129842        0.038980
LBFGS:   33 23:35:50      -35.129940        0.041663
LBFGS:   34 23:36:00      -35.130883        0.049745
LBFGS:   35 23:36:09      -35.132634        0.053950
LBFGS:   36 23:36:19      -35.134592        0.051315
LBFGS:   37 23:36:28      -35.155897        0.042916
LBFGS:   38 23:36:38      -35.162248        0.014188
LBFGS:   39 23:36:47      -35.165167        0.028491
LBFGS:   40 23:36:56      -35.167087        0.012103
LBFGS:   41 23:37:06      -35.168624        0.012815
LBFGS:   42 23:37:15      -35.170029        0.016196
LBFGS:   43 23:37:24      -35.167753        0.008531
