       Step     Time          Energy          fmax
LBFGS:    0 14:09:45      -33.408415        1.422980
LBFGS:    1 14:09:55      -33.521904        1.286044
LBFGS:    2 14:10:05      -33.818522        1.122574
LBFGS:    3 14:10:15      -33.910926        0.455102
LBFGS:    4 14:10:25      -33.934621        0.500815
LBFGS:    5 14:10:35      -34.059517        0.582175
LBFGS:    6 14:10:45      -34.135522        0.416181
LBFGS:    7 14:10:55      -34.181321        0.236935
LBFGS:    8 14:11:05      -34.191286        0.203947
LBFGS:    9 14:11:15      -34.202448        0.274133
LBFGS:   10 14:11:24      -34.242179        0.515451
LBFGS:   11 14:11:34      -34.333038        0.874612
LBFGS:   12 14:11:43      -34.375331        0.818650
LBFGS:   13 14:11:53      -34.469619        0.684968
LBFGS:   14 14:12:03      -34.745483        0.217492
LBFGS:   15 14:12:12      -34.804265        0.233589
LBFGS:   16 14:12:22      -34.825260        0.039854
LBFGS:   17 14:12:32      -34.826961        0.027646
LBFGS:   18 14:12:42      -34.827070        0.027691
LBFGS:   19 14:12:51      -34.827310        0.028435
LBFGS:   20 14:13:01      -34.827971        0.034982
LBFGS:   21 14:13:11      -34.829454        0.052502
LBFGS:   22 14:13:21      -34.832317        0.070618
LBFGS:   23 14:13:31      -34.835947        0.069020
LBFGS:   24 14:13:40      -34.838487        0.039485
LBFGS:   25 14:13:50      -34.839240        0.008027
