       Step     Time          Energy          fmax
LBFGS:    0 15:40:31      -33.367168        1.328146
LBFGS:    1 15:40:41      -33.473280        1.196580
LBFGS:    2 15:40:51      -33.743832        1.046092
LBFGS:    3 15:41:01      -33.829560        0.453319
LBFGS:    4 15:41:11      -33.856507        0.503383
LBFGS:    5 15:41:21      -34.269678        1.013564
LBFGS:    6 15:41:30      -34.534453        1.123508
LBFGS:    7 15:41:40      -34.667970        0.760301
LBFGS:    8 15:41:50      -34.779937        0.341413
LBFGS:    9 15:42:00      -34.810629        0.111708
LBFGS:   10 15:42:10      -34.812433        0.102295
LBFGS:   11 15:42:20      -34.813666        0.097695
LBFGS:   12 15:42:29      -34.815965        0.084092
LBFGS:   13 15:42:39      -34.818551        0.054611
LBFGS:   14 15:42:49      -34.820090        0.045180
LBFGS:   15 15:42:58      -34.820434        0.030773
LBFGS:   16 15:43:08      -34.820527        0.024935
LBFGS:   17 15:43:18      -34.820714        0.027406
LBFGS:   18 15:43:28      -34.821149        0.038315
LBFGS:   19 15:43:38      -34.822161        0.052143
LBFGS:   20 15:43:47      -34.824067        0.061668
LBFGS:   21 15:43:57      -34.826361        0.062973
LBFGS:   22 15:44:07      -34.827930        0.033888
LBFGS:   23 15:44:16      -34.828317        0.006205
