       Step     Time          Energy          fmax
LBFGS:    0 18:20:56      -35.153471        0.280529
LBFGS:    1 18:21:05      -35.161843        0.270434
LBFGS:    2 18:21:15      -35.180086        0.397810
LBFGS:    3 18:21:24      -35.220279        0.144786
LBFGS:    4 18:21:34      -35.224541        0.135413
LBFGS:    5 18:21:44      -35.226338        0.131486
LBFGS:    6 18:21:53      -35.229031        0.117753
LBFGS:    7 18:22:03      -35.233878        0.125330
LBFGS:    8 18:22:13      -35.238157        0.153514
LBFGS:    9 18:22:22      -35.241089        0.158447
LBFGS:   10 18:22:32      -35.243805        0.148844
LBFGS:   11 18:22:41      -35.248520        0.118842
LBFGS:   12 18:22:51      -35.253676        0.102617
LBFGS:   13 18:23:00      -35.256675        0.066768
LBFGS:   14 18:23:10      -35.257617        0.030210
LBFGS:   15 18:23:19      -35.257750        0.027643
LBFGS:   16 18:23:29      -35.257915        0.033149
LBFGS:   17 18:23:39      -35.258276        0.042188
LBFGS:   18 18:23:48      -35.259144        0.056402
LBFGS:   19 18:23:58      -35.260823        0.068512
LBFGS:   20 18:24:07      -35.263457        0.060855
LBFGS:   21 18:24:17      -35.266248        0.032318
LBFGS:   22 18:24:27      -35.266658        0.015174
LBFGS:   23 18:24:36      -35.266732        0.000850
