       Step     Time          Energy          fmax
LBFGS:    0 12:02:04      -35.134779        0.630080
LBFGS:    1 12:02:13      -35.162121        0.571325
LBFGS:    2 12:02:23      -35.289913        0.624488
LBFGS:    3 12:02:33      -35.315290        0.506172
LBFGS:    4 12:02:43      -35.392126        0.352597
LBFGS:    5 12:02:52      -35.503285        0.345522
LBFGS:    6 12:03:01      -35.517355        0.201671
LBFGS:    7 12:03:11      -35.524473        0.124924
LBFGS:    8 12:03:20      -35.529447        0.159065
LBFGS:    9 12:03:30      -35.533498        0.173931
LBFGS:   10 12:03:39      -35.546048        0.170105
LBFGS:   11 12:03:49      -35.557448        0.119768
LBFGS:   12 12:03:58      -35.562370        0.071218
LBFGS:   13 12:04:08      -35.563429        0.039280
LBFGS:   14 12:04:17      -35.563744        0.040713
LBFGS:   15 12:04:27      -35.563981        0.044806
LBFGS:   16 12:04:36      -35.564871        0.053193
LBFGS:   17 12:04:46      -35.566683        0.061070
LBFGS:   18 12:04:55      -35.570637        0.064970
LBFGS:   19 12:05:05      -35.576044        0.062056
LBFGS:   20 12:05:14      -35.579062        0.032221
LBFGS:   21 12:05:24      -35.579635        0.009997
