       Step     Time          Energy          fmax
LBFGS:    0 19:24:46      -34.575354        0.828129
LBFGS:    1 19:24:55      -34.630889        0.766336
LBFGS:    2 19:25:05      -34.960669        1.024681
LBFGS:    3 19:25:14      -35.031816        0.761839
LBFGS:    4 19:25:24      -35.161507        0.508460
LBFGS:    5 19:25:33      -35.282367        0.292614
LBFGS:    6 19:25:43      -35.291996        0.192306
LBFGS:    7 19:25:52      -35.297809        0.179244
LBFGS:    8 19:26:02      -35.357998        0.141898
LBFGS:    9 19:26:11      -35.368603        0.083816
LBFGS:   10 19:26:21      -35.371713        0.018562
LBFGS:   11 19:26:30      -35.371753        0.016673
LBFGS:   12 19:26:40      -35.371859        0.021883
LBFGS:   13 19:26:49      -35.372045        0.029311
LBFGS:   14 19:26:59      -35.372483        0.041136
LBFGS:   15 19:27:08      -35.373334        0.052785
LBFGS:   16 19:27:18      -35.374599        0.053176
LBFGS:   17 19:27:27      -35.375549        0.033751
LBFGS:   18 19:27:37      -35.375961        0.009195
