       Step     Time          Energy          fmax
LBFGS:    0 19:07:23      -35.027083        0.735362
LBFGS:    1 19:07:33      -35.083110        0.701729
LBFGS:    2 19:07:42      -35.240332        0.938749
LBFGS:    3 19:07:52      -35.436925        0.350455
LBFGS:    4 19:08:01      -35.459552        0.335988
LBFGS:    5 19:08:11      -35.470372        0.316365
LBFGS:    6 19:08:20      -35.484410        0.259941
LBFGS:    7 19:08:30      -35.499004        0.168450
LBFGS:    8 19:08:39      -35.506507        0.210449
LBFGS:    9 19:08:49      -35.511114        0.219686
LBFGS:   10 19:08:58      -35.518904        0.206730
LBFGS:   11 19:09:07      -35.528825        0.151048
LBFGS:   12 19:09:17      -35.536293        0.083933
LBFGS:   13 19:09:27      -35.538781        0.029769
LBFGS:   14 19:09:36      -35.538957        0.012027
LBFGS:   15 19:09:46      -35.538973        0.010379
LBFGS:   16 19:09:56      -35.539013        0.014323
LBFGS:   17 19:10:05      -35.539100        0.020185
LBFGS:   18 19:10:14      -35.539309        0.028381
LBFGS:   19 19:10:24      -35.539698        0.034505
LBFGS:   20 19:10:34      -35.540196        0.029943
LBFGS:   21 19:10:43      -35.540511        0.013925
LBFGS:   22 19:10:53      -35.540575        0.002677
