       Step     Time          Energy          fmax
LBFGS:    0 21:07:56      -35.096621        0.268111
LBFGS:    1 21:08:05      -35.102904        0.248199
LBFGS:    2 21:08:15      -35.145463        0.330234
LBFGS:    3 21:08:24      -35.153473        0.244008
LBFGS:    4 21:08:34      -35.160493        0.205317
LBFGS:    5 21:08:43      -35.181332        0.100589
LBFGS:    6 21:08:53      -35.182519        0.112113
LBFGS:    7 21:09:02      -35.185107        0.121671
LBFGS:    8 21:09:11      -35.191537        0.137814
LBFGS:    9 21:09:21      -35.202265        0.142800
LBFGS:   10 21:09:30      -35.211925        0.095411
LBFGS:   11 21:09:40      -35.214134        0.052301
LBFGS:   12 21:09:49      -35.214749        0.035907
LBFGS:   13 21:09:59      -35.214965        0.038027
LBFGS:   14 21:10:08      -35.215222        0.044287
LBFGS:   15 21:10:18      -35.216075        0.055512
LBFGS:   16 21:10:27      -35.218112        0.067979
LBFGS:   17 21:10:36      -35.221031        0.073637
LBFGS:   18 21:10:46      -35.227573        0.074504
LBFGS:   19 21:10:55      -35.231821        0.032451
LBFGS:   20 21:11:05      -35.232278        0.010360
LBFGS:   21 21:11:14      -35.232333        0.000808
