       Step     Time          Energy          fmax
LBFGS:    0 06:43:46      -34.757950        0.796290
LBFGS:    1 06:43:56      -34.800969        0.726975
LBFGS:    2 06:44:05      -34.987632        0.873905
LBFGS:    3 06:44:15      -35.038258        0.617272
LBFGS:    4 06:44:24      -35.106275        0.527011
LBFGS:    5 06:44:33      -35.326516        0.602921
LBFGS:    6 06:44:43      -35.388760        0.252624
LBFGS:    7 06:44:52      -35.407203        0.229041
LBFGS:    8 06:45:02      -35.418250        0.186411
LBFGS:    9 06:45:11      -35.423897        0.184119
LBFGS:   10 06:45:20      -35.431882        0.218033
LBFGS:   11 06:45:30      -35.443251        0.215843
LBFGS:   12 06:45:39      -35.457711        0.142047
LBFGS:   13 06:45:48      -35.463980        0.072074
LBFGS:   14 06:45:58      -35.465451        0.030848
LBFGS:   15 06:46:07      -35.465647        0.029372
LBFGS:   16 06:46:17      -35.465796        0.029449
LBFGS:   17 06:46:26      -35.466347        0.038983
LBFGS:   18 06:46:35      -35.467480        0.057739
LBFGS:   19 06:46:45      -35.469960        0.080081
LBFGS:   20 06:46:54      -35.473600        0.083672
LBFGS:   21 06:47:04      -35.476066        0.050461
LBFGS:   22 06:47:13      -35.476831        0.015183
LBFGS:   23 06:47:23      -35.476942        0.000556
