       Step     Time          Energy          fmax
LBFGS:    0 06:27:55      -35.035595        0.743168
LBFGS:    1 06:28:05      -35.065578        0.665972
LBFGS:    2 06:28:14      -35.187060        0.460616
LBFGS:    3 06:28:24      -35.197630        0.391980
LBFGS:    4 06:28:33      -35.242746        0.141086
LBFGS:    5 06:28:43      -35.269724        0.148015
LBFGS:    6 06:28:52      -35.279338        0.078746
LBFGS:    7 06:29:02      -35.281178        0.018536
LBFGS:    8 06:29:11      -35.281279        0.002651
