       Step     Time          Energy          fmax
LBFGS:    0 07:20:56      -35.231362        0.371264
LBFGS:    1 07:21:05      -35.246395        0.352714
LBFGS:    2 07:21:15      -35.242503        0.666078
LBFGS:    3 07:21:24      -35.346459        0.219779
LBFGS:    4 07:21:33      -35.356864        0.209861
LBFGS:    5 07:21:43      -35.361350        0.203034
LBFGS:    6 07:21:52      -35.366143        0.176900
LBFGS:    7 07:22:01      -35.373773        0.122524
LBFGS:    8 07:22:11      -35.377518        0.151391
LBFGS:    9 07:22:20      -35.379969        0.161819
LBFGS:   10 07:22:29      -35.383816        0.162336
LBFGS:   11 07:22:39      -35.390246        0.138396
LBFGS:   12 07:22:48      -35.396743        0.111159
LBFGS:   13 07:22:57      -35.400585        0.068867
LBFGS:   14 07:23:07      -35.401401        0.034291
LBFGS:   15 07:23:16      -35.401562        0.033428
LBFGS:   16 07:23:25      -35.401977        0.044420
LBFGS:   17 07:23:35      -35.402818        0.057739
LBFGS:   18 07:23:44      -35.404702        0.072720
LBFGS:   19 07:23:53      -35.407779        0.075666
LBFGS:   20 07:24:03      -35.410980        0.054645
LBFGS:   21 07:24:12      -35.412136        0.020550
LBFGS:   22 07:24:22      -35.412282        0.003404
