       Step     Time          Energy          fmax
LBFGS:    0 01:55:30      -35.141752        0.716608
LBFGS:    1 01:55:40      -35.198049        0.679087
LBFGS:    2 01:55:50      -35.238985        0.992751
LBFGS:    3 01:55:59      -35.489561        0.255110
LBFGS:    4 01:56:08      -35.508329        0.211951
LBFGS:    5 01:56:18      -35.512368        0.207836
LBFGS:    6 01:56:27      -35.518212        0.190854
LBFGS:    7 01:56:37      -35.528655        0.146989
LBFGS:    8 01:56:46      -35.536844        0.179551
LBFGS:    9 01:56:56      -35.541083        0.175082
LBFGS:   10 01:57:05      -35.544057        0.154370
LBFGS:   11 01:57:14      -35.548515        0.106232
LBFGS:   12 01:57:24      -35.551936        0.062880
LBFGS:   13 01:57:33      -35.553318        0.027975
LBFGS:   14 01:57:42      -35.553527        0.008793
