       Step     Time          Energy          fmax
LBFGS:    0 05:44:36      -34.289785        0.966606
LBFGS:    1 05:44:45      -34.366559        0.891081
LBFGS:    2 05:44:54      -34.766068        1.092710
LBFGS:    3 05:45:04      -34.848787        0.805710
LBFGS:    4 05:45:13      -34.986832        0.533311
LBFGS:    5 05:45:23      -35.132695        0.302083
LBFGS:    6 05:45:32      -35.140401        0.227799
LBFGS:    7 05:45:42      -35.151039        0.199595
LBFGS:    8 05:45:52      -35.185021        0.246902
LBFGS:    9 05:46:01      -35.210808        0.206260
LBFGS:   10 05:46:11      -35.229112        0.082822
LBFGS:   11 05:46:21      -35.231698        0.028788
LBFGS:   12 05:46:31      -35.231948        0.016798
LBFGS:   13 05:46:40      -35.231992        0.014026
LBFGS:   14 05:46:50      -35.232024        0.013046
LBFGS:   15 05:47:00      -35.232083        0.017495
LBFGS:   16 05:47:09      -35.232234        0.024407
LBFGS:   17 05:47:19      -35.232571        0.032536
LBFGS:   18 05:47:29      -35.233200        0.037276
LBFGS:   19 05:47:38      -35.233942        0.029806
LBFGS:   20 05:47:48      -35.234345        0.012504
LBFGS:   21 05:47:58      -35.234432        0.002199
