# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     716     0.00000     0.00000     0.01918   -4.443020961   -5.032073061   -0.589052101
     1     716     0.00000     0.00000     0.02055   -4.445146750   -5.033194876   -0.588048126
     1     716     0.00000     0.00000     0.02192   -4.447120113   -5.034356018   -0.587235905
     1     716     0.00000     0.00000     0.02329   -4.448855465   -5.035471430   -0.586615965
     1     716     0.00000     0.00000     0.02466   -4.450264863   -5.036460195   -0.586195332
     1     716     0.00000     0.00000     0.02603   -4.451280401   -5.037274475   -0.585994074
     1     716     0.00000     0.00000     0.02740   -4.451830973   -5.037874084   -0.586043111
     1     716     0.00000     0.00000     0.02877   -4.451895388   -5.038279801   -0.586384413
     1     716     0.00000     0.00000     0.03014   -4.451487149   -5.038545245   -0.587058096
     1     716     0.00000     0.00000     0.03151   -4.450668847   -5.038758851   -0.588090004
     1     716     0.00000     0.00000     0.03288   -4.449567022   -5.039053233   -0.589486211
     1     716     0.00000     0.00000     0.03425   -4.448381121   -5.039673279   -0.591292159
     1     716     0.00000     0.00000     0.03562   -4.448264175   -5.043266443   -0.595002269
     1     716     0.00000     0.00000     0.03699   -4.459771564   -5.056359628   -0.596588064
     1     716     0.00000     0.00000     0.03836   -4.473854813   -5.067866563   -0.594011750
     1     716     0.00000     0.00000     0.03973   -4.472492862   -5.055031628   -0.582538766
     1     716     0.00000     0.00000     0.04110   -4.463485177   -5.046038788   -0.582553611
     1     717     0.00000     0.00000     0.00000   -4.283720255   -4.834727451   -0.551007196
     1     717     0.00000     0.00000     0.00137   -4.284114276   -4.835857845   -0.551743569
     1     717     0.00000     0.00000     0.00274   -4.285268604   -4.839068920   -0.553800316
     1     717     0.00000     0.00000     0.00411   -4.287109078   -4.843909542   -0.556800464
     1     717     0.00000     0.00000     0.00548   -4.289530508   -4.849853689   -0.560323182
     1     717     0.00000     0.00000     0.00685   -4.292420025   -4.856447457   -0.564027431
     1     717     0.00000     0.00000     0.00822   -4.295679919   -4.863328864   -0.567648945
     1     717     0.00000     0.00000     0.00959   -4.299231202   -4.870215200   -0.570983998
     1     717     0.00000     0.00000     0.01096   -4.303004451   -4.876885514   -0.573881063
     1     717     0.00000     0.00000     0.01233   -4.306951631   -4.883190515   -0.576238884
     1     717     0.00000     0.00000     0.01370   -4.311028810   -4.889036650   -0.578007841
     1     717     0.00000     0.00000     0.01507   -4.315217589   -4.894392969   -0.579175380
     1     717     0.00000     0.00000     0.01644   -4.319494308   -4.899254483   -0.579760175
     1     717     0.00000     0.00000     0.01781   -4.323844801   -4.903646516   -0.579801715
     1     717     0.00000     0.00000     0.01918   -4.328278435   -4.907634717   -0.579356281
     1     717     0.00000     0.00000     0.02055   -4.332788947   -4.911287840   -0.578498893
     1     717     0.00000     0.00000     0.02192   -4.337412987   -4.914749537   -0.577336550
     1     717     0.00000     0.00000     0.02329   -4.342206949   -4.918261639   -0.576054690
     1     717     0.00000     0.00000     0.02466   -4.347320189   -4.922372362   -0.575052173
     1     717     0.00000     0.00000     0.02603   -4.353135734   -4.928446358   -0.575310623
     1     717     0.00000     0.00000     0.02740   -4.360497652   -4.939298059   -0.578800407
     1     717     0.00000     0.00000     0.02877   -4.370571655   -4.956100005   -0.585528350
     1     717     0.00000     0.00000     0.03014   -4.383299834   -4.974240116   -0.590940283
     1     717     0.00000     0.00000     0.03151   -4.397555439   -4.991270880   -0.593715441
     1     717     0.00000     0.00000     0.03288   -4.412539840   -5.007474655   -0.594934815
     1     717     0.00000     0.00000     0.03425   -4.427795539   -5.023027322   -0.595231783
     1     717     0.00000     0.00000     0.03562   -4.442127292   -5.035413126   -0.593285834
     1     717     0.00000     0.00000     0.03699   -4.444940592   -5.037821337   -0.592880745
     1     717     0.00000     0.00000     0.03836   -4.444499402   -5.037612658   -0.593113257
     1     717     0.00000     0.00000     0.03973   -4.446905355   -5.031143039   -0.584237685
     1     717     0.00000     0.00000     0.04110   -4.454760219   -5.035194812   -0.580434593
     1     718     0.00000     0.00000     0.00000   -4.226673599   -4.844635271   -0.617961672
     1     718     0.00000     0.00000     0.00137   -4.226423320   -4.843225549   -0.616802229
     1     718     0.00000     0.00000     0.00274   -4.225704397   -4.839186603   -0.613482206
     1     718     0.00000     0.00000     0.00411   -4.224614827   -4.833023725   -0.608408898
     1     718     0.00000     0.00000     0.00548   -4.223283547   -4.825414021   -0.602130474
     1     718     0.00000     0.00000     0.00685   -4.221852104   -4.817058568   -0.595206464
     1     718     0.00000     0.00000     0.00822   -4.220467071   -4.808518321   -0.588051251
     1     718     0.00000     0.00000     0.00959   -4.219284472   -4.800067770   -0.580783298
     1     718     0.00000     0.00000     0.01096   -4.218508881   -4.791621436   -0.573112555
     1     718     0.00000     0.00000     0.01233   -4.218581647   -4.782567008   -0.563985361
     1     718     0.00000     0.00000     0.01370   -4.220789085   -4.773135305   -0.552346220
     1     718     0.00000     0.00000     0.01507   -4.227295816   -4.774180317   -0.546884501
     1     718     0.00000     0.00000     0.01644   -4.237267713   -4.787984853   -0.550717140
     1     718     0.00000     0.00000     0.01781   -4.248736340   -4.805435405   -0.556699065
     1     718     0.00000     0.00000     0.01918   -4.260968478   -4.823957359   -0.562988880
     1     718     0.00000     0.00000     0.02055   -4.273716787   -4.842965970   -0.569249183
     1     718     0.00000     0.00000     0.02192   -4.286860173   -4.862040173   -0.575180000
     1     718     0.00000     0.00000     0.02329   -4.300281416   -4.880608165   -0.580326749
     1     718     0.00000     0.00000     0.02466   -4.313785798   -4.897784834   -0.583999036
     1     718     0.00000     0.00000     0.02603   -4.326924844   -4.912000047   -0.585075203
     1     718     0.00000     0.00000     0.02740   -4.338760417   -4.920476246   -0.581715829
     1     718     0.00000     0.00000     0.02877   -4.348051242   -4.922337673   -0.574286431
     1     718     0.00000     0.00000     0.03014   -4.354785886   -4.922662660   -0.567876774
     1     718     0.00000     0.00000     0.03151   -4.362496366   -4.945200340   -0.582703974
     1     718     0.00000     0.00000     0.03288   -4.375953029   -4.959108383   -0.583155355
     1     718     0.00000     0.00000     0.03425   -4.389530227   -4.972896215   -0.583365988
     1     718     0.00000     0.00000     0.03562   -4.403103714   -4.986666341   -0.583562627
     1     718     0.00000     0.00000     0.03699   -4.416612252   -5.000521293   -0.583909041
     1     718     0.00000     0.00000     0.03836   -4.429792764   -5.015111979   -0.585319215
     1     718     0.00000     0.00000     0.03973   -4.440012447   -5.035179775   -0.595167328
     1     718     0.00000     0.00000     0.04110   -4.441587709   -5.040401947   -0.598814238
     1     719     0.00000     0.00000     0.00000   -4.161859045   -4.668499025   -0.506639980
     1     719     0.00000     0.00000     0.00137   -4.161929003   -4.669340432   -0.507411430
     1     719     0.00000     0.00000     0.00274   -4.162183014   -4.671901494   -0.509718480
     1     719     0.00000     0.00000     0.00411   -4.162813534   -4.676343886   -0.513530352
     1     719     0.00000     0.00000     0.00548   -4.164222526   -4.683010038   -0.518787512
     1     719     0.00000     0.00000     0.00685   -4.167088131   -4.692256148   -0.525168018
     1     719     0.00000     0.00000     0.00822   -4.172095370   -4.703773825   -0.531678455
     1     719     0.00000     0.00000     0.00959   -4.179240973   -4.716936094   -0.537695121
     1     719     0.00000     0.00000     0.01096   -4.187813440   -4.731834346   -0.544020906
     1     719     0.00000     0.00000     0.01233   -4.196824558   -4.749266065   -0.552441507
     1     719     0.00000     0.00000     0.01370   -4.204652581   -4.769114815   -0.564462233
     1     719     0.00000     0.00000     0.01507   -4.208965657   -4.780843299   -0.571877641
     1     719     0.00000     0.00000     0.01644   -4.210725468   -4.787029108   -0.576303640
     1     719     0.00000     0.00000     0.01781   -4.220386557   -4.829671353   -0.609284796
     1     719     0.00000     0.00000     0.01918   -4.235234648   -4.838701651   -0.603467003
     1     719     0.00000     0.00000     0.02055   -4.250050418   -4.848113017   -0.598062600
     1     719     0.00000     0.00000     0.02192   -4.264687596   -4.857824590   -0.593136994
     1     719     0.00000     0.00000     0.02329   -4.279109189   -4.867989062   -0.588879873
     1     719     0.00000     0.00000     0.02466   -4.293323003   -4.878872690   -0.585549687
     1     719     0.00000     0.00000     0.02603   -4.307340751   -4.890615136   -0.583274385
     1     719     0.00000     0.00000     0.02740   -4.321199618   -4.903191266   -0.581991647
     1     719     0.00000     0.00000     0.02877   -4.334938036   -4.916383167   -0.581445131
     1     719     0.00000     0.00000     0.03014   -4.348565446   -4.929508723   -0.580943277
     1     719     0.00000     0.00000     0.03151   -4.359603291   -4.921103408   -0.561500117
     1     719     0.00000     0.00000     0.03288   -4.363998224   -4.921716318   -0.557718093
     1     719     0.00000     0.00000     0.03425   -4.367631013   -4.922451294   -0.554820281
     1     719     0.00000     0.00000     0.03562   -4.370696828   -4.923077018   -0.552380189
     1     719     0.00000     0.00000     0.03699   -4.373186977   -4.923543184   -0.550356207
     1     719     0.00000     0.00000     0.03836   -4.375030293   -4.923797665   -0.548767372
     1     719     0.00000     0.00000     0.03973   -4.376175171   -4.923900711   -0.547725540
     1     719     0.00000     0.00000     0.04110   -4.376564361   -4.923924905   -0.547360544
     1     720     0.00000     0.00000     0.00000   -4.099355790   -4.608797555   -0.509441765
     1     720     0.00000     0.00000     0.00137   -4.103693444   -4.621898621   -0.518205176
     1     720     0.00000     0.00000     0.00274   -4.111532781   -4.635795930   -0.524263149
     1     720     0.00000     0.00000     0.00411   -4.119752970   -4.646954741   -0.527201771
     1     720     0.00000     0.00000     0.00548   -4.127387933   -4.656730976   -0.529343043
     1     720     0.00000     0.00000     0.00685   -4.133557963   -4.665996665   -0.532438701
     1     720     0.00000     0.00000     0.00822   -4.137489491   -4.676704219   -0.539214728
     1     720     0.00000     0.00000     0.00959   -4.139208402   -4.695758264   -0.556549862
     1     720     0.00000     0.00000     0.01096   -4.144627733   -4.788985703   -0.644357971
     1     720     0.00000     0.00000     0.01233   -4.159338617   -4.792276704   -0.632938086
     1     720     0.00000     0.00000     0.01370   -4.174480674   -4.799232729   -0.624752055
     1     720     0.00000     0.00000     0.01507   -4.189641308   -4.807236658   -0.617595350
     1     720     0.00000     0.00000     0.01644   -4.204507710   -4.810515599   -0.606007889
     1     720     0.00000     0.00000     0.01781   -4.210463331   -4.775705360   -0.565242029
     1     720     0.00000     0.00000     0.01918   -4.210884987   -4.775092151   -0.564207164
     1     720     0.00000     0.00000     0.02055   -4.211132257   -4.774898888   -0.563766630
     1     720     0.00000     0.00000     0.02192   -4.211372903   -4.775251797   -0.563878895
     1     720     0.00000     0.00000     0.02329   -4.211631623   -4.776091557   -0.564459934
     1     720     0.00000     0.00000     0.02466   -4.211910094   -4.777295510   -0.565385416
     1     720     0.00000     0.00000     0.02603   -4.212207356   -4.778738083   -0.566530727
     1     720     0.00000     0.00000     0.02740   -4.212506886   -4.780288286   -0.567781400
     1     720     0.00000     0.00000     0.02877   -4.212805874   -4.781843770   -0.569037897
     1     720     0.00000     0.00000     0.03014   -4.213093436   -4.783312350   -0.570218914
     1     720     0.00000     0.00000     0.03151   -4.213359870   -4.784625742   -0.571265872
     1     720     0.00000     0.00000     0.03288   -4.213606155   -4.785752606   -0.572146450
     1     720     0.00000     0.00000     0.03425   -4.213818160   -4.786672773   -0.572854613
     1     720     0.00000     0.00000     0.03562   -4.214000336   -4.787406452   -0.573406116
     1     720     0.00000     0.00000     0.03699   -4.214146423   -4.787971730   -0.573825307
     1     720     0.00000     0.00000     0.03836   -4.214248605   -4.788375268   -0.574126663
     1     720     0.00000     0.00000     0.03973   -4.214313229   -4.788623589   -0.574310361
     1     720     0.00000     0.00000     0.04110   -4.214336065   -4.788708184   -0.574372119
     1     721     0.00000     0.00000     0.00000   -4.084968748   -4.641821614   -0.556852866
     1     721     0.00000     0.00000     0.00137   -4.080861212   -4.629678234   -0.548817022
     1     721     0.00000     0.00000     0.00274   -4.074093664   -4.625298003   -0.551204340
     1     721     0.00000     0.00000     0.00411   -4.073694981   -4.737878841   -0.664183860
     1     721     0.00000     0.00000     0.00548   -4.085406355   -4.765229222   -0.679822866
     1     721     0.00000     0.00000     0.00685   -4.099330715   -4.762567359   -0.663236644
     1     721     0.00000     0.00000     0.00822   -4.113859346   -4.762247463   -0.648388117
     1     721     0.00000     0.00000     0.00959   -4.128543135   -4.758413727   -0.629870592
     1     721     0.00000     0.00000     0.01096   -4.137880110   -4.684486248   -0.546606139
     1     721     0.00000     0.00000     0.01233   -4.136795224   -4.703649000   -0.566853776
     1     721     0.00000     0.00000     0.01370   -4.134472017   -4.721530659   -0.587058642
     1     721     0.00000     0.00000     0.01507   -4.131482702   -4.739829614   -0.608346911
     1     721     0.00000     0.00000     0.01644   -4.128007704   -4.759067455   -0.631059751
     1     721     0.00000     0.00000     0.01781   -4.124167403   -4.779418432   -0.655251029
     1     721     0.00000     0.00000     0.01918   -4.120058590   -4.801079205   -0.681020615
     1     721     0.00000     0.00000     0.02055   -4.115758342   -4.824291505   -0.708533163
     1     721     0.00000     0.00000     0.02192   -4.111343468   -4.849353341   -0.738009873
     1     721     0.00000     0.00000     0.02329   -4.106880139   -4.876545660   -0.769665521
     1     721     0.00000     0.00000     0.02466   -4.102440931   -4.906037219   -0.803596288
     1     721     0.00000     0.00000     0.02603   -4.098089604   -4.937797519   -0.839707915
     1     721     0.00000     0.00000     0.02740   -4.093894893   -4.971449623   -0.877554730
     1     721     0.00000     0.00000     0.02877   -4.089920672   -5.006194170   -0.916273497
     1     721     0.00000     0.00000     0.03014   -4.086232800   -5.040721190   -0.954488391
     1     721     0.00000     0.00000     0.03151   -4.082883160   -5.073386429   -0.990503269
     1     721     0.00000     0.00000     0.03288   -4.079922037   -5.102471524   -1.022549487
     1     721     0.00000     0.00000     0.03425   -4.077382684   -5.126682989   -1.049300305
     1     721     0.00000     0.00000     0.03562   -4.075293996   -5.145565377   -1.070271380
     1     721     0.00000     0.00000     0.03699   -4.073665579   -5.159582514   -1.085916936
     1     721     0.00000     0.00000     0.03836   -4.072504226   -5.169431890   -1.096927664
     1     721     0.00000     0.00000     0.03973   -4.071809872   -5.175371780   -1.103561908
     1     721     0.00000     0.00000     0.04110   -4.071579013   -5.177358499   -1.105779486
     1     722     0.00000     0.00000     0.00000   -4.046817470   -5.016121195   -0.969303725
     1     722     0.00000     0.00000     0.00137   -4.049726516   -4.964102359   -0.914375843
     1     722     0.00000     0.00000     0.00274   -4.057437664   -4.862407464   -0.804969801
     1     722     0.00000     0.00000     0.00411   -4.061775453   -4.682653794   -0.620878341
     1     722     0.00000     0.00000     0.00548   -4.055858258   -4.625300557   -0.569442300
     1     722     0.00000     0.00000     0.00685   -4.049045605   -4.622212552   -0.573166947
     1     722     0.00000     0.00000     0.00822   -4.042934494   -4.640147322   -0.597212827
