# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     716     0.00000     0.00000     0.01918   -4.441602041   -5.047937338   -0.606335296
     1     716     0.00000     0.00000     0.02055   -4.447913018   -5.050587361   -0.602674343
     1     716     0.00000     0.00000     0.02192   -4.454537643   -5.055299360   -0.600761717
     1     716     0.00000     0.00000     0.02329   -4.461343500   -5.061381734   -0.600038234
     1     716     0.00000     0.00000     0.02466   -4.468231366   -5.068305501   -0.600074135
     1     716     0.00000     0.00000     0.02603   -4.475136380   -5.075681837   -0.600545457
     1     716     0.00000     0.00000     0.02740   -4.481947290   -5.083086645   -0.601139356
     1     716     0.00000     0.00000     0.02877   -4.488460327   -5.089519385   -0.601059057
     1     716     0.00000     0.00000     0.03014   -4.493056852   -5.085941798   -0.592884946
     1     716     0.00000     0.00000     0.03151   -4.491359994   -5.073387139   -0.582027145
     1     716     0.00000     0.00000     0.03288   -4.488061757   -5.068971938   -0.580910181
     1     716     0.00000     0.00000     0.03425   -4.485131514   -5.066615766   -0.581484252
     1     716     0.00000     0.00000     0.03562   -4.483023678   -5.065569934   -0.582546256
     1     716     0.00000     0.00000     0.03699   -4.482191887   -5.065947129   -0.583755241
     1     716     0.00000     0.00000     0.03836   -4.483427837   -5.068454074   -0.585026237
     1     716     0.00000     0.00000     0.03973   -4.487503604   -5.073182760   -0.585679155
     1     716     0.00000     0.00000     0.04110   -4.490998711   -5.076166023   -0.585167312
     1     717     0.00000     0.00000     0.00000   -4.324908694   -4.882512980   -0.557604286
     1     717     0.00000     0.00000     0.00137   -4.328241808   -4.891961104   -0.563719296
     1     717     0.00000     0.00000     0.00274   -4.334807583   -4.904042581   -0.569234998
     1     717     0.00000     0.00000     0.00411   -4.342139692   -4.914373125   -0.572233433
     1     717     0.00000     0.00000     0.00548   -4.349656808   -4.923952274   -0.574295466
     1     717     0.00000     0.00000     0.00685   -4.357172957   -4.933409859   -0.576236901
     1     717     0.00000     0.00000     0.00822   -4.364589929   -4.943148976   -0.578559047
     1     717     0.00000     0.00000     0.00959   -4.371832192   -4.953457057   -0.581624866
     1     717     0.00000     0.00000     0.01096   -4.378803625   -4.964525077   -0.585721452
